ApsimVersion = 7.10
Title = Silt rice residue field
           Date           year            day           rain            esw             es         runoff          drain          no3()   dlt_n_min(1)   dlt_n_min(2)   dlt_n_min(3)   dlt_n_min(4)   dlt_n_min(5)   dlt_n_min(6)   surfaceom_wt surfaceom_cover
   (dd/mm/yyyy)         (year)          (day)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)       (m^2/m^2)
     01/04/2001           2001             91          0.000         91.639          0.132          0.000          0.000           38.5            0.1            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     02/04/2001           2001             92          0.000         90.731          2.955          0.000          0.000           38.9            0.0            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     03/04/2001           2001             93          7.000         92.332          3.352          0.000          0.000           38.6            0.1            0.2            0.1            0.0            0.0            0.0         1343.0           0.489
     04/04/2001           2001             94          0.000         91.491          0.841          0.000          0.000           38.3            0.0            0.2            0.1            0.0            0.0            0.0         1284.6           0.474
     05/04/2001           2001             95          0.000         91.300          0.191          0.000          0.000           38.1            0.0            0.2            0.1            0.0            0.0            0.0         1245.1           0.463
     06/04/2001           2001             96          0.000         91.110          0.190          0.000          0.000           38.2            0.0            0.2            0.1            0.0            0.0            0.0         1222.6           0.457
     07/04/2001           2001             97          0.000         90.922          0.188          0.000          0.000           38.5            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     08/04/2001           2001             98          0.000         90.735          0.187          0.000          0.000           38.8            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     09/04/2001           2001             99          0.000         90.550          0.185          0.000          0.000           39.2            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     10/04/2001           2001            100          0.000         90.485          0.184          0.000          0.000           39.5            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     11/04/2001           2001            101          0.000         90.454          0.183          0.000          0.000           39.9            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     12/04/2001           2001            102          0.000         90.421          0.181          0.000          0.000           40.2            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     13/04/2001           2001            103          0.000         90.389          0.180          0.000          0.000           40.5            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     14/04/2001           2001            104          0.000         90.356          0.179          0.000          0.000           40.8            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     15/04/2001           2001            105          0.000         90.322          0.177          0.000          0.000           41.1            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     16/04/2001           2001            106          0.000         90.289          0.176          0.000          0.000           41.4            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     17/04/2001           2001            107          0.000         90.255          0.175          0.000          0.000           41.7            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     18/04/2001           2001            108          0.000         90.221          0.174          0.000          0.000           42.0            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     19/04/2001           2001            109          2.000         90.186          2.173          0.000          0.000           42.3            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     20/04/2001           2001            110          0.000         90.151          0.172          0.000          0.000           42.6            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     21/04/2001           2001            111          0.000         90.116          0.170          0.000          0.000           43.0            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     22/04/2001           2001            112          0.000         90.080          0.169          0.000          0.000           43.3            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     23/04/2001           2001            113          1.000         90.045          1.168          0.000          0.000           43.6            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     24/04/2001           2001            114          0.000         90.008          0.167          0.000          0.000           44.0            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     25/04/2001           2001            115          0.000         89.972          0.166          0.000          0.000           44.3            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     26/04/2001           2001            116          0.000         89.936          0.165          0.000          0.000           44.7            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     27/04/2001           2001            117          0.000         89.899          0.164          0.000          0.000           45.0            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     28/04/2001           2001            118          0.000         89.862          0.163          0.000          0.000           45.3            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     29/04/2001           2001            119          0.000         89.824          0.162          0.000          0.000           45.6            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     30/04/2001           2001            120          0.000         89.786          0.161          0.000          0.000           46.0            0.0            0.2            0.1            0.0            0.0            0.0         1216.8           0.456
     01/05/2001           2001            121          8.000         91.037          3.903          0.000          0.000           45.3            0.1            0.2            0.1            0.0            0.0            0.0         1150.7           0.437
     02/05/2001           2001            122          0.000         90.752          0.284          0.000          0.000           45.0            0.1            0.2            0.1            0.0            0.0            0.0         1099.8           0.423
     03/05/2001           2001            123          6.000         93.376          3.376          0.000          0.000           44.5            0.2            0.2            0.1            0.0            0.0            0.0         1040.0           0.405
     04/05/2001           2001            124         83.000        144.911          3.399         28.065          0.000           44.0            0.6            0.1            0.1            0.0            0.0            0.0          983.4           0.388
     05/05/2001           2001            125          0.000        142.387          2.525          0.000          0.000           44.1            0.7            0.1            0.1            0.0            0.0            0.0          940.2           0.375
