ApsimVersion = 7.4
Title = Silt cowpea residues incorp
           Date     biom_n_Tot      fom_n_Tot        NO3_Tot
     16/08/2001          181.0            2.5          118.6
     17/08/2001          180.4            2.5          119.5
     18/08/2001          179.8            2.4          120.4
     19/08/2001          179.2            2.3          121.3
     20/08/2001          178.6            2.3          122.3
     21/08/2001          177.9            2.2          123.3
     22/08/2001          177.3            2.2          124.3
     23/08/2001          176.7            2.1          125.4
     24/08/2001          176.0            2.1          126.4
     25/08/2001          175.4            2.1          127.5
     26/08/2001          174.8            2.0          128.5
     27/08/2001          174.1            2.0          129.6
     28/08/2001          173.5            1.9          130.6
     29/08/2001          172.9            1.9          131.6
     30/08/2001          172.2            1.9          132.6
     31/08/2001          171.6            1.8          133.7
     01/09/2001          171.0            1.8          134.6
     02/09/2001          170.4            1.7          135.6
     03/09/2001          169.8            1.7          136.7
     04/09/2001          169.2            1.7          137.7
     05/09/2001          168.6            1.7          138.7
     06/09/2001          168.0            1.6          139.6
     07/09/2001          167.4            1.6          140.4
     08/09/2001          166.8            1.6          141.2
     09/09/2001          166.3            1.6          142.0
     10/09/2001          165.7            1.5          142.8
     11/09/2001          165.2            1.5          143.4
     12/09/2001          164.6            1.5          144.1
     13/09/2001          164.1            1.5          144.9
     14/09/2001          163.6            1.4          145.6
     15/09/2001          163.0            1.4          146.4
     16/09/2001          162.4            1.4          147.2
     17/09/2001          161.9            1.4          148.0
     18/09/2001          161.5            1.4          148.5
     19/09/2001          161.0            1.3          149.0
     20/09/2001          160.5            1.3          149.5
     21/09/2001          160.1            1.3          150.1
     22/09/2001          159.5            1.3          150.8
     23/09/2001          159.0            1.3          151.6
     24/09/2001          158.5            1.3          152.4
     25/09/2001          157.9            1.2          153.3
     26/09/2001          157.4            1.2          154.2
     27/09/2001          156.8            1.2          155.1
     28/09/2001          156.3            1.2          156.0
     29/09/2001          155.7            1.2          157.0
     30/09/2001          155.2            1.2          157.9
     01/10/2001          154.7            1.1          158.7
     02/10/2001          154.2            1.1          159.4
     03/10/2001          153.7            1.1          160.0
     04/10/2001          153.2            1.1          160.7
     05/10/2001          152.7            1.1          161.3
     06/10/2001          152.2            1.1          162.1
     07/10/2001          151.7            1.1          162.9
     08/10/2001          151.2            1.1          163.7
     09/10/2001          150.6            1.0          164.7
     10/10/2001          150.1            1.0          165.5
     11/10/2001          149.6            1.0          166.2
     12/10/2001          149.1            1.0          167.0
     13/10/2001          148.6            1.0          167.8
     14/10/2001          148.1            1.0          168.5
     15/10/2001          147.6            1.0          169.2
     16/10/2001          147.1            1.0          169.9
     17/10/2001          146.7            1.0          170.7
     18/10/2001          146.2            0.9          171.5
     19/10/2001          145.7            0.9          172.3
     20/10/2001          145.2            0.9          173.1
     21/10/2001          144.7            0.9          174.0
     22/10/2001          144.2            0.9          174.9
     23/10/2001          143.7            0.9          175.8
     24/10/2001          143.2            0.9          176.7
     25/10/2001          142.7            0.9          177.7
     26/10/2001          142.2            0.9          178.7
     27/10/2001          141.7            0.9          179.5
     28/10/2001          141.3            0.8          180.1
     29/10/2001          140.8            0.8          180.8
     30/10/2001          140.4            0.8          181.4
     31/10/2001          140.1            0.8          181.7
     01/11/2001          139.7            0.8          182.1
     02/11/2001          139.3            0.8          182.7
     03/11/2001          138.9            0.8          183.3
     04/11/2001          138.5            0.8          184.0
     05/11/2001          138.1            0.8          184.7
     06/11/2001          137.7            0.8          185.4
     07/11/2001          137.3            0.8          186.1
     08/11/2001          136.9            0.8          186.8
     09/11/2001          136.5            0.8          187.5
     10/11/2001          136.2            0.8          188.1
     11/11/2001          135.9            0.8          188.7
     12/11/2001          135.6            0.8          188.8
     13/11/2001          135.3            0.7          189.2
     14/11/2001          135.0            0.7          189.6
     15/11/2001          134.7            0.7          190.1
     16/11/2001          134.3            0.7          190.7
     17/11/2001          133.9            0.7          191.4
     18/11/2001          133.6            0.7          192.0
     19/11/2001          133.2            0.7          192.7
     20/11/2001          132.9            0.7          193.4
     21/11/2001          132.5            0.7          194.0
     22/11/2001          132.2            0.7          194.7
     23/11/2001          131.8            0.7          195.3
     24/11/2001          131.5            0.7          196.0
     25/11/2001          131.2            0.7          196.6
     26/11/2001          130.8            0.7          197.3
     27/11/2001          130.5            0.7          198.0
     28/11/2001          130.2            0.7          198.6
     29/11/2001          129.8            0.7          199.3
     30/11/2001          129.5            0.7          199.9
     01/12/2001          129.2            0.7          200.6
     02/12/2001          128.9            0.6          201.1
     03/12/2001          128.6            0.6          201.7
     04/12/2001          128.3            0.6          202.3
     05/12/2001          128.1            0.6          202.8
     06/12/2001          127.8            0.6          203.3
     07/12/2001          127.5            0.6          203.9
     08/12/2001          127.3            0.6          204.4
     09/12/2001          127.0            0.6          205.0
     10/12/2001          126.8            0.6          205.5
     11/12/2001          126.5            0.6          206.1
     12/12/2001          126.2            0.6          206.6
     13/12/2001          126.0            0.6          207.2
     14/12/2001          125.8            0.6          207.6
     15/12/2001          125.6            0.6          208.1
     16/12/2001          125.3            0.6          208.6
     17/12/2001          125.1            0.6          209.0
     18/12/2001          124.9            0.6          209.5
     19/12/2001          124.7            0.6          209.9
     20/12/2001          124.5            0.6          210.3
     21/12/2001          124.3            0.6          210.8
     22/12/2001          124.1            0.6          211.2
     23/12/2001          124.0            0.6          211.6
     24/12/2001          123.8            0.6          212.0
     25/12/2001          123.6            0.6          212.4
     26/12/2001          123.4            0.6          212.8
     27/12/2001          123.2            0.6          213.2
     28/12/2001          123.0            0.6          213.6
     29/12/2001          122.9            0.6          214.1
     30/12/2001          122.7            0.6          214.5
     31/12/2001          122.5            0.6          214.9
