ApsimVersion = 7.9
Title = Rice-wheat
           Date           year            day            esw        no3_Tot     crop_stage            dae  total_biomass storage_organs     rice_yield        N_avail           rain         dul(1)          sw(1)          no3()         NH4(1)         NH4(2)         NH4(3)         NH4(4)         NH4(5)         NH4(6)          drain     irrigation     wheat_biom    wheat_yield         runoff     fertiliser          nh4()      LAI(rice)     LAI(wheat)     leaftotaln           nflv sw_stress_expan sw_stress_photo sw_stress_pheno
   (dd/mm/yyyy)         (year)          (day)           (mm)        (kg/ha)             ()            (d)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)        (mm/mm)        (mm/mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)           (mm)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)             ()      (m^2/m^2)        (g/m^2)             ()              ()              ()              ()
     27/08/2001           2001            239        286.710            5.2              4             44          404.6            0.0            0.0           99.1          6.000          0.386          0.420            5.2           90.6            6.9            3.3            0.5            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0          101.3          0.614          0.000           0.00          1.448           0.000           0.000           0.000
     28/08/2001           2001            240        286.479            5.1              4             45          453.1            0.0            0.0           97.8          2.000          0.386          0.419            5.1           89.2            6.9            3.3            0.6            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0          100.0          0.715          0.000           0.00          1.429           0.000           0.000           0.000
     29/08/2001           2001            241        286.288            5.1              4             46          509.7            0.0            0.0           96.4          1.000          0.386          0.418            5.1           87.6            6.8            3.4            0.6            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           98.4          0.837          0.000           0.00          1.412           0.000           0.000           0.000
     30/08/2001           2001            242        286.045            5.0              4             47          575.5            0.0            0.0           94.7         14.000          0.386          0.418            5.0           85.7            6.8            3.5            0.6            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           96.5          0.975          0.000           0.00          1.395           0.000           0.000           0.000
     31/08/2001           2001            243        284.771            5.0              4             48          662.6            0.0            0.0           92.8          0.000          0.386          0.412            5.0           83.0            6.6            3.5            0.6            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           93.7          1.144          0.000           0.00          1.619           0.000           0.000           0.000
     01/09/2001           2001            244        285.518            4.9              4             49          753.8            0.0            0.0           89.9         11.000          0.386          0.417            4.9           80.7            6.5            3.6            0.6            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           91.5          1.155          0.000           0.00          1.742           0.000           0.000           0.000
     02/09/2001           2001            245        285.212            3.9              4             50          850.8            0.0            0.0           87.6          0.000          0.386          0.415            3.9           79.4            6.5            3.6            0.6            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           90.1          1.245          0.000           0.00          1.742           0.000           0.000           0.000
     03/09/2001           2001            246        284.956            3.8              4             51          955.7            0.0            0.0           89.9          2.000          0.386          0.415            3.8           77.1            6.4            3.5            0.6            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           87.6          1.344          0.000           0.00          1.733           0.000           0.000           0.000
     04/09/2001           2001            247        284.695            3.8              4             52         1072.5            0.0            0.0           87.4          0.000          0.386          0.414            3.8           74.5            6.3            3.4            0.7            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           84.9          1.450          0.000           0.00          1.722           0.000           0.000           0.000
     05/09/2001           2001            248        285.122            3.8              4             53         1191.5            0.0            0.0           84.6          3.000          0.386          0.417            3.8           72.3            6.2            3.4            0.7            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           82.5          1.551          0.000           0.00          1.696           0.000           0.000           0.000
     06/09/2001           2001            249        284.940            3.7              4             54         1318.1            0.0            0.0           82.3         31.000          0.386          0.416            3.7           70.0            6.0            3.3            0.7            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           80.0          1.650          0.000           0.00          1.676           0.000           0.000           0.000
     07/09/2001           2001            250        284.911            3.7              4             55         1454.8            0.0            0.0           79.7          9.000          0.386          0.417            3.7           67.5            5.9            3.2            0.7            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           77.4          1.750          0.000           0.00          1.656           0.000           0.000           0.000
     08/09/2001           2001            251        284.716            3.6              4             56         1595.6            0.0            0.0           77.1          4.000          0.386          0.417            3.6           65.4            5.8            3.2            0.7            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           75.0          1.844          0.000           0.00          1.627           0.000           0.000           0.000
     09/09/2001           2001            252        284.660            3.6              4             57         1743.0            2.3            0.0           74.7          0.000          0.386          0.417            3.6           63.4            5.7            3.1            0.7            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           72.9          1.933          0.000           0.00          1.595           0.000           0.000           0.000
     10/09/2001           2001            253        284.763            3.6              4             58         1904.6           11.6            0.0           72.6         28.000          0.386          0.418            3.6           61.2            5.5            3.1            0.7            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           70.5          2.022          0.000           0.00          1.568           0.000           0.000           0.000
     11/09/2001           2001            254        284.214            3.5              4             59         2068.4           27.5            0.0           70.2         17.000          0.386          0.416            3.5           59.4            5.4            3.0            0.8            0.0            0.0          1.000          0.000            0.0            0.0          3.351            0.0           68.6          2.103          0.000           0.00          1.533           0.000           0.000           0.000
     12/09/2001           2001            255        284.562            3.5              4             60         2232.6           50.3            0.0           68.3          2.000          0.386          0.418            3.5           57.9            5.4            3.0            0.8            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           67.1          2.174          0.000           0.00          1.496           0.000           0.000           0.000
     13/09/2001           2001            256        284.633            3.5              4             61         2402.1           80.9            0.0           66.7          0.000          0.386          0.418            3.5           56.5            5.3            2.9            0.8            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           65.5          2.236          0.000           0.00          1.462           0.000           0.000           0.000
     14/09/2001           2001            257        283.468            3.4              4             62         2593.2          123.5            0.0           65.1         18.000          0.386          0.414            3.4           54.6            5.2            2.9            0.8            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           63.5          2.298          0.000           0.00          1.433           0.000           0.000           0.000
     15/09/2001           2001            258        283.545            3.4              4             63         2785.1          174.2            0.0           63.1          0.000          0.386          0.415            3.4           53.1            5.1            2.8            0.8            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           61.9          2.349          0.000           0.00          1.400           0.000           0.000           0.000
     16/09/2001           2001            259        284.748            3.4              4             64         2968.3          230.1            0.0           61.5          0.000          0.386          0.419            3.4           51.8            5.1            2.8            0.8            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           60.5          2.384          0.000           0.00          1.378           0.000           0.000           0.000
     17/09/2001           2001            260        284.912            3.3              4             65         3160.1          296.6            0.0           60.1          7.000          0.386          0.420            3.3           50.2            5.0            2.8            0.8            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           58.8          2.412          0.000           0.00          1.360           0.000           0.000           0.000
     18/09/2001           2001            261        284.903            3.3              4             66         3353.3          370.8            0.0           58.4         66.000          0.386          0.420            3.3           48.7            4.9            2.7            0.9            0.0            0.0          1.000          0.000            0.0            0.0         39.460            0.0           57.1          2.430          0.000           0.00          1.348           0.000           0.000           0.000
     19/09/2001           2001            262        284.886            3.3              4             67         3544.2          451.3            0.0           56.7          6.000          0.386          0.420            3.3           47.2            4.8            2.7            0.9            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           55.5          2.437          0.000           0.00          1.342           0.000           0.000           0.000
     20/09/2001           2001            263        284.696            3.2              4             68         3724.6          534.3            0.0           55.0          5.000          0.386          0.419            3.2           46.0            4.7            2.6            0.9            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           54.3          2.431          0.000           0.00          1.343           0.000           0.000           0.000
     21/09/2001           2001            264        284.706            3.2              4             69         3903.2          623.8           89.5           53.8          0.000          0.386          0.419            3.2           44.9            4.7            2.6            0.9            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           53.1          2.416          0.000           0.00          1.350           0.000           0.000           0.000
     22/09/2001           2001            265        284.344            3.2              4             70         4086.4          722.8          188.5           52.6          0.000          0.386          0.418            3.2           43.7            4.6            2.6            0.9            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           51.8          2.390          0.000           0.00          1.362           0.000           0.000           0.000
     23/09/2001           2001            266        284.737            3.1              4             71         4264.0          826.1          291.8           51.3          0.000          0.386          0.419            3.1           42.3            4.5            2.5            0.9            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           50.3          2.355          0.000           0.00          1.380           0.000           0.000           0.000
     24/09/2001           2001            267        284.853            3.1              4             72         4436.1          961.8          427.5           49.8          5.000          0.386          0.419            3.1           40.4            4.4            2.5            0.9            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           48.2          2.315          0.000           0.00          1.401           0.000           0.000           0.000
     25/09/2001           2001            268        284.479            3.1              4             73         4614.5         1109.8          575.5           47.7          3.000          0.386          0.418            3.1           38.6            4.3            2.4            1.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           46.3          2.274          0.000           0.00          1.424           0.000           0.000           0.000
     26/09/2001           2001            269        283.124            3.0              4             74         4796.9         1269.2          734.9           45.7          0.000          0.386          0.413            3.0           36.8            4.1            2.3            1.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           44.3          2.234          0.000           0.00          1.447           0.000           0.000           0.000
     27/09/2001           2001            270        284.854            3.0              4             75         4955.0         1417.5          883.2           43.7          1.000          0.386          0.419            3.0           35.2            4.0            2.3            1.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           42.5          2.194          0.000           0.00          1.470           0.000           0.000           0.000
     28/09/2001           2001            271        283.783            3.0              4             76         5129.6         1585.9         1051.6           41.9          0.000          0.386          0.416            3.0           33.3            3.8            2.2            1.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           40.4          2.154          0.000           0.00          1.495           0.000           0.000           0.000
     29/09/2001           2001            272        282.723            2.9              4             77         5321.4         1776.6         1242.3           39.8          0.000          0.386          0.412            2.9           31.2            3.7            2.1            1.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           38.0          2.114          0.000           0.00          1.520           0.000           0.000           0.000
     30/09/2001           2001            273        285.207            2.9              4             78         5488.3         1952.9         1418.6           37.4          0.000          0.386          0.421            2.9           29.3            3.5            2.0            1.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           35.8          2.075          0.000           0.00          1.546           0.000           0.000           0.000
     01/10/2001           2001            274        285.166            2.9              4             79         5650.2         2130.8         1596.5           35.2         38.000          0.386          0.420            2.9           27.3            3.3            1.9            1.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           33.5          2.036          0.000           0.00          1.573           0.000           0.000           0.000
     02/10/2001           2001            275        285.105            2.8              4             80         5803.3         2306.0         1771.7           32.9          7.000          0.386          0.420            2.8           25.3            3.1            1.8            1.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           31.3          1.997          0.000           0.00          1.600           0.000           0.000           0.000
     03/10/2001           2001            276        285.122            2.8              4             81         5952.6         2477.5         1943.2           30.6          6.000          0.386          0.420            2.8           23.4            2.9            1.7            1.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           29.1          1.958          0.000           0.00          1.629           0.000           0.000           0.000
     04/10/2001           2001            277        285.213            2.8              4             82         6103.9         2648.9         2114.6           28.4          2.000          0.386          0.420            2.8           21.5            2.8            1.6            1.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           26.9          1.919          0.000           0.00          1.659           0.000           0.000           0.000
     05/10/2001           2001            278        283.907            2.8              4             83         6275.1         2838.2         2303.9           26.2         15.000          0.386          0.416            2.8           19.4            2.5            1.4            1.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           24.5          1.880          0.000           0.00          1.690           0.000           0.000           0.000
     06/10/2001           2001            279        285.300            2.7              4             84         6418.6         2998.0         2463.7           23.8          0.000          0.386          0.421            2.7           17.7            2.4            1.4            1.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           22.5          1.842          0.000           0.00          1.722           0.000           0.000           0.000
     07/10/2001           2001            280        283.929            2.7              4             85         6590.7         3184.6         2650.3           21.8          2.000          0.386          0.416            2.7           15.6            2.1            1.2            1.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           20.2          1.804          0.000           0.00          1.755           0.000           0.000           0.000
     08/10/2001           2001            281        283.404            2.7              4             86         6764.7         3371.8         2837.5           19.4          0.000          0.386          0.414            2.7           13.6            1.9            1.1            1.2            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           17.8          1.766          0.000           0.00          1.789           0.000           0.000           0.000
     09/10/2001           2001            282        284.920            2.6              4             87         6910.8         3529.7         2995.4           17.1          0.000          0.386          0.419            2.6           11.9            1.7            1.0            1.2            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           15.9          1.728          0.000           0.00          1.824           0.000           0.000           0.000
     10/10/2001           2001            283        285.736            2.6              4             88         7059.8         3689.4         3155.1           15.1         16.000          0.386          0.422            2.6           10.3            1.5            0.9            1.2            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           13.9          1.691          0.000           0.00          1.861           0.000           0.000           0.000
     11/10/2001           2001            284        285.753            2.6              4             89         7203.2         3842.4         3308.1           13.2          7.000          0.386          0.422            2.6            8.7            1.4            0.8            1.2            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           12.1          1.653          0.000           0.00          1.900           0.000           0.000           0.000
     12/10/2001           2001            285        284.259            2.6              4             90         7370.5         4018.3         3484.0           11.3          2.000          0.386          0.417            2.6            6.8            1.1            0.6            1.2            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            9.9          1.616          0.000           0.00          1.939           0.000           0.000           0.000
     13/10/2001           2001            286        284.829            2.5              4             91         7528.7         4184.3         3650.0            9.0          0.000          0.386          0.419            2.5            5.1            0.9            0.5            1.2            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            7.8          1.580          0.000           0.00          1.981           0.000           0.000           0.000
     14/10/2001           2001            287        285.994            2.5              4             92         7669.3         4331.9         3797.6            6.9          0.000          0.386          0.423            2.5            3.7            0.7            0.4            1.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            6.0          1.543          0.000           0.00          2.023           0.000           0.000           0.000
     15/10/2001           2001            288        285.977            2.5              4             93         7804.6         4473.5         3939.2            5.1         35.000          0.386          0.423            2.5            2.3            0.4            0.3            1.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            4.3          1.507          0.000           0.00          2.068           0.000           0.000           0.000
     16/10/2001           2001            289        285.210            2.5              4             94         7952.2         4626.8         4092.5            3.4          0.000          0.386          0.420            2.5            0.8            0.2            0.1            1.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            2.4          1.471          0.000           0.00          2.114           0.000           0.000           0.000
     17/10/2001           2001            290        286.031            2.4              4             95         8079.7         4759.3         4225.0            1.5          0.000          0.386          0.423            2.4            0.0            0.0            0.0            1.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            1.4          1.436          0.000           0.00          2.144           0.000           0.000           0.000
     18/10/2001           2001            291        286.090            2.4              4             96         8208.6         4892.8         4358.5            0.4          1.000          0.386          0.423            2.4            0.0            0.0            0.0            1.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            1.4          1.401          0.000           0.00          2.139           0.000           0.000           0.000
     19/10/2001           2001            292        285.080            2.4              4             97         8362.7         5051.1         4516.8            0.4          3.000          0.386          0.419            2.4            0.0            0.0            0.0            1.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            1.4          1.366          0.000           0.00          2.120           0.000           0.000           0.000
     20/10/2001           2001            293        285.063            2.4              4             98         8513.0         5205.1         4670.8            0.4          0.000          0.386          0.419            2.4            0.0            0.0            0.0            1.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            1.4          1.331          0.000           0.00          2.102           0.000           0.000           0.000
     21/10/2001           2001            294        285.016            2.3              4             99         8662.4         5357.8         4823.5            0.4          0.000          0.386          0.419            2.3            0.0            0.0            0.0            1.4            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            1.4          1.296          0.000           0.00          2.084           0.000           0.000           0.000
     22/10/2001           2001            295        284.892            2.3              4            100         8807.2         5505.6         4971.3            0.5          0.000          0.386          0.418            2.3            0.0            0.0            0.0            1.4            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            1.4          1.260          0.000           0.00          2.070           0.000           0.000           0.000
     23/10/2001           2001            296        284.943            2.3              4            101         8946.1         5647.3         5113.0            0.5          0.000          0.386          0.418            2.3            0.0            0.0            0.0            1.4            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            1.5          1.224          0.000           0.00          2.059           0.000           0.000           0.000
     24/10/2001           2001            297        285.132            2.3              4            102         9081.1         5784.7         5250.4            0.5          0.000          0.386          0.419            2.3            0.0            0.0            0.0            1.4            0.1            0.0          1.000          0.000            0.0            0.0          0.000            0.0            1.5          1.187          0.000           0.00          2.051           0.000           0.000           0.000
     25/10/2001           2001            298        285.255            2.2              4            103         9211.9         5917.7         5383.4            0.5          0.000          0.386          0.419            2.2            0.0            0.0            0.0            1.4            0.1            0.0          1.000        100.300            0.0            0.0          0.000            0.0            1.5          1.151          0.000           0.00          2.046           0.000           0.000           0.000
     26/10/2001           2001            299        285.272            2.2              4            104         9339.6         6047.4         5513.1            0.5          0.000          0.386          0.419            2.2            0.0            0.0            0.0            1.4            0.1            0.0          1.000          0.000            0.0            0.0          0.000            0.0            1.5          1.114          0.000           0.00          2.043           0.000           0.000           0.000
     27/10/2001           2001            300        286.944            2.2              4            105         9451.1         6160.7         5626.4            0.5          0.000          0.386          0.425            2.2            0.0            0.0            0.0            1.5            0.1            0.0          1.000          0.000            0.0            0.0          0.000            0.0            1.5          1.078          0.000           0.00          2.050           0.000           0.000           0.000
     28/10/2001           2001            301        286.922            2.2              4            106         9564.5         6208.1         5673.8            0.4         51.000          0.386          0.425            2.2            0.0            0.0            0.0            1.5            0.1            0.0          1.000          0.000            0.0            0.0         27.236            0.0            1.6          1.041          0.000           0.00          2.088           0.000           0.000           0.000
     29/10/2001           2001            302        287.008            2.1              4            107         9681.7         6208.1         5673.8            0.4          0.000          0.386          0.426            2.1            0.0            0.0            0.0            1.5            0.1            0.0          1.000          0.000            0.0            0.0          0.000            0.0            1.6          1.005          0.000           0.00          2.158           0.000           0.000           0.000
     30/10/2001           2001            303        287.051            2.1              4            108         9795.7         6208.1         5673.8            0.4          1.000          0.386          0.426            2.1            0.0            0.0            0.0            1.5            0.1            0.0          1.000          0.000            0.0            0.0          0.000            0.0            1.6          0.968          0.000           0.00          2.232           0.000           0.000           0.000
     31/10/2001           2001            304        286.456            2.1              4            109         9921.5         6208.1         5673.8            0.4        104.000          0.386          0.423            2.1            0.0            0.0            0.0            1.5            0.1            0.0          1.000          0.000            0.0            0.0        241.254            0.0            1.6          0.933          0.000           0.00          2.312           0.000           0.000           0.000
     01/11/2001           2001            305        284.044            2.1              4            110        10050.1         6208.1         5673.8            0.4          2.000          0.386          0.420            2.1            0.0            0.0            0.0            1.5            0.1            0.0          1.000          0.000            0.0            0.0          0.000            0.0            1.6          0.897          0.000           0.00          2.397           0.000           0.000           0.000
     02/11/2001           2001            306        279.656            2.1              4            111        10176.0         6208.1         5673.8            0.5          0.000          0.386          0.402            2.1            0.0            0.0            0.0            1.5            0.1            0.0          1.000          0.000            0.0            0.0          0.000            0.0            1.6          0.862          0.000           0.00          2.488           0.000           0.000           0.000
     03/11/2001           2001            307        275.424            2.0              4            112        10297.2         6208.1         5673.8            0.6          0.000          0.386          0.385            2.0            0.0            0.0            0.0            1.6            0.1            0.0          1.000          0.000            0.0            0.0          0.000            0.0            1.7          0.827          0.000           0.00          2.586           0.000           0.000           0.000
     04/11/2001           2001            308        266.782            2.0              4            113        10411.4         6208.1         5673.8            0.7          0.000          0.386          0.376            2.0            0.0            0.0            0.0            1.6            0.1            0.0          6.030          0.000            0.0            0.0          0.000            0.0            1.7          0.793          0.000           0.00          2.691           0.000           0.000           0.000
     05/11/2001           2001            309        258.170            2.0              4            114        10524.5         6208.1         5673.8            0.8          0.000          0.386          0.364            2.0            0.0            0.0            0.0            1.6            0.1            0.0          5.571          0.000            0.0            0.0          0.000            0.0            1.6          0.759          0.000           0.00          2.803           0.000           0.000           0.000
     06/11/2001           2001            310        250.497            2.1              4            115        10620.5         6208.1         5673.8            0.8          0.000          0.386          0.355            2.1            0.0            0.0            0.0            1.5            0.1            0.0          5.250          0.000            0.0            0.0          0.000            0.0            1.6          0.726          0.000           0.00          2.923           0.000           0.000           0.000
     07/11/2001           2001            311        243.351            2.3              4            116        10705.6         6208.1         5673.8            0.8          0.000          0.386          0.346            2.3            0.0            0.0            0.0            1.3            0.1            0.0          5.025          0.000            0.0            0.0          0.000            0.0            1.4          0.693          0.000           0.00          3.052           0.000           0.000           0.000
     08/11/2001           2001            312        237.389            2.8              0              0            0.0            0.0            0.0            0.5          0.000          0.386          0.339            2.8            0.3            0.1            0.1            1.0            0.1            0.0          4.867          0.000            0.0            0.0          0.000            0.0            1.6          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     09/11/2001           2001            313        231.533            3.2              0              0            0.0            0.0            0.0            0.4          0.000          0.386          0.333            3.2            0.3            0.2            0.1            0.8            0.1            0.0          4.757          0.000            0.0            0.0          0.000            0.0            1.4          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     10/11/2001           2001            314        225.851            3.6              0              0            0.0            0.0            0.0            0.4          0.000          0.386          0.326            3.6            0.3            0.2            0.1            0.6            0.1            0.0          4.576          0.000            0.0            0.0          0.000            0.0            1.2          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     11/11/2001           2001            315        234.572            3.9              0              0            0.0            0.0            0.0            0.4         14.000          0.386          0.402            3.9            0.2            0.3            0.1            0.4            0.0            0.0          4.216          0.000            0.0            0.0          0.000            0.0            1.1          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     12/11/2001           2001            316        254.513            3.9              0              0            0.0            0.0            0.0            0.2         42.000          0.386          0.429            3.9            0.2            0.3            0.2            0.3            0.0            0.0          3.876          0.000            0.0            0.0         17.098            0.0            1.0          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     13/11/2001           2001            317        251.758            4.0              0              0            0.0            0.0            0.0            0.3          2.000          0.386          0.419            4.0            0.2            0.4            0.2            0.2            0.0            0.0          3.611          0.000            0.0            0.0          0.000            0.0            1.1          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     14/11/2001           2001            318        246.717            4.2              0              0            0.0            0.0            0.0            0.4          0.000          0.386          0.399            4.2            0.2            0.5            0.2            0.2            0.0            0.0          3.421          0.000            0.0            0.0          0.000            0.0            1.1          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     15/11/2001           2001            319        241.978            4.4              0              0            0.0            0.0            0.0            0.4          0.000          0.386          0.386            4.4            0.3            0.5            0.2            0.2            0.0            0.0          3.284          0.000            0.0            0.0          0.000            0.0            1.1          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     16/11/2001           2001            320        236.918            4.7              0              0            0.0            0.0            0.0            0.5          0.000          0.386          0.374            4.7            0.3            0.5            0.2            0.1            0.0            0.0          3.175          0.000            0.0            0.0          0.000            0.0            1.1          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     17/11/2001           2001            321        231.898            5.0              0              0            0.0            0.0            0.0            0.5          0.000          0.386          0.362            5.0            0.3            0.4            0.2            0.1            0.0            0.0          3.069          0.000            0.0            0.0          0.000            0.0            1.0          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     18/11/2001           2001            322        227.804            5.3              0              0            0.0            0.0            0.0            0.5          0.000          0.386          0.355            5.3            0.3            0.4            0.2            0.1            0.0            0.0          2.948          0.000            0.0            0.0          0.000            0.0            1.0          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     19/11/2001           2001            323        224.197            5.6              0              0            0.0            0.0            0.0            0.5          0.000          0.386          0.350            5.6            0.3            0.3            0.2            0.1            0.0            0.0          2.804          0.000            0.0            0.0          0.000            0.0            0.9          0.000          0.000           0.00          0.000           0.000           0.000           0.000
