ApsimVersion = 7.5
Title = Silt cowpea residue field
           Date           year            day           rain            esw             es         runoff          drain          no3()   dlt_n_min(1)   dlt_n_min(2)   dlt_n_min(3)   dlt_n_min(4)   dlt_n_min(5)   dlt_n_min(6)   surfaceom_wt surfaceom_cover
   (dd/mm/yyyy)         (year)          (day)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)       (m^2/m^2)
     02/02/2001           2001             33          0.000         97.317          0.173          0.000          0.000           22.2            0.2            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     03/02/2001           2001             34          0.000         97.146          0.172          0.000          0.000           22.6            0.2            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     04/02/2001           2001             35          0.000         96.975          0.170          0.000          0.000           23.0            0.2            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     05/02/2001           2001             36          0.000         96.807          0.169          0.000          0.000           23.4            0.2            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     06/02/2001           2001             37          0.000         96.640          0.167          0.000          0.000           23.8            0.2            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     07/02/2001           2001             38          0.000         96.474          0.166          0.000          0.000           24.2            0.2            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     08/02/2001           2001             39          0.000         96.310          0.164          0.000          0.000           24.6            0.2            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     09/02/2001           2001             40          0.000         96.147          0.163          0.000          0.000           25.0            0.2            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     10/02/2001           2001             41          0.000         95.985          0.161          0.000          0.000           25.3            0.1            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     11/02/2001           2001             42          0.000         95.825          0.160          0.000          0.000           25.7            0.1            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     12/02/2001           2001             43          0.000         95.666          0.159          0.000          0.000           26.0            0.1            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     13/02/2001           2001             44          0.000         95.509          0.158          0.000          0.000           26.4            0.1            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     14/02/2001           2001             45          0.000         95.352          0.156          0.000          0.000           26.8            0.1            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     15/02/2001           2001             46          0.000         95.197          0.155          0.000          0.000           27.1            0.1            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     16/02/2001           2001             47          0.000         95.043          0.154          0.000          0.000           27.5            0.1            0.2            0.1            0.0           -0.0           -0.0         1594.0           0.273
     17/02/2001           2001             48          0.000         94.891          0.153          0.000          0.000           27.9            0.1            0.2            0.1            0.0           -0.0           -0.0         1594.0           0.273
     18/02/2001           2001             49          0.000         94.739          0.152          0.000          0.000           28.3            0.1            0.2            0.1            0.0           -0.0           -0.0         1594.0           0.273
     19/02/2001           2001             50          0.000         94.588          0.151          0.000          0.000           28.7            0.1            0.2            0.1            0.0           -0.0           -0.0         1594.0           0.273
     20/02/2001           2001             51          0.000         94.439          0.149          0.000          0.000           29.1            0.1            0.2            0.1            0.0           -0.0           -0.0         1594.0           0.273
     21/02/2001           2001             52          0.000         94.290          0.148          0.000          0.000           29.5            0.1            0.2            0.1            0.0           -0.0           -0.0         1594.0           0.273
     22/02/2001           2001             53          6.000         96.623          3.667          0.000          0.000           30.0            0.2            0.2            0.1            0.0           -0.0            0.0         1434.6           0.249
     23/02/2001           2001             54          0.000         96.458          0.166          0.000          0.000           30.5            0.2            0.2            0.1            0.0            0.0            0.0         1327.0           0.233
     24/02/2001           2001             55          0.000         96.294          0.164          0.000          0.000           31.1            0.2            0.2            0.1            0.0            0.0            0.0         1259.1           0.223
     25/02/2001           2001             56          0.000         96.131          0.163          0.000          0.000           31.6            0.2            0.2            0.1            0.0            0.0            0.0         1225.6           0.217
     26/02/2001           2001             57          0.000         95.970          0.161          0.000          0.000           32.1            0.2            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     27/02/2001           2001             58          4.000         96.306          3.664          0.000          0.000           32.6            0.2            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     28/02/2001           2001             59          0.000         96.143          0.163          0.000          0.000           33.1            0.2            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     01/03/2001           2001             60          0.000         95.981          0.161          0.000          0.000           33.6            0.2            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     02/03/2001           2001             61          0.000         95.821          0.160          0.000          0.000           34.1            0.2            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     03/03/2001           2001             62          0.000         95.662          0.159          0.000          0.000           34.6            0.2            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     04/03/2001           2001             63          0.000         95.505          0.158          0.000          0.000           35.1            0.2            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     05/03/2001           2001             64          0.000         95.348          0.156          0.000          0.000           35.5            0.2            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     06/03/2001           2001             65          0.000         95.193          0.155          0.000          0.000           36.0            0.2            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     07/03/2001           2001             66          0.000         95.039          0.154          0.000          0.000           36.4            0.2            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     08/03/2001           2001             67          0.000         94.887          0.153          0.000          0.000           36.9            0.2            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     09/03/2001           2001             68          0.000         94.735          0.152          0.000          0.000           37.3            0.2            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     10/03/2001           2001             69          0.000         94.585          0.151          0.000          0.000           37.8            0.2            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     11/03/2001           2001             70          0.000         94.435          0.149          0.000          0.000           38.2            0.2            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     12/03/2001           2001             71          0.000         94.287          0.148          0.000          0.000           38.7            0.2            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     13/03/2001           2001             72          0.000         94.139          0.147          0.000          0.000           39.1            0.2            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     14/03/2001           2001             73          0.000         93.993          0.146          0.000          0.000           39.6            0.2            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     15/03/2001           2001             74          0.000         93.848          0.145          0.000          0.000           40.0            0.2            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     16/03/2001           2001             75          0.000         93.703          0.144          0.000          0.000           40.5            0.1            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     17/03/2001           2001             76          0.000         93.560          0.143          0.000          0.000           41.0            0.1            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     18/03/2001           2001             77          0.000         93.417          0.142          0.000          0.000           41.4            0.1            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     19/03/2001           2001             78          0.000         93.276          0.142          0.000          0.000           41.9            0.1            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     20/03/2001           2001             79          0.000         93.135          0.141          0.000          0.000           42.4            0.1            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     21/03/2001           2001             80          0.000         92.995          0.140          0.000          0.000           42.8            0.1            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
