ApsimVersion = 7.5
Title = Silt wheat residues incorp
           Date     biom_n_Tot      fom_n_Tot        NO3_Tot
     09/08/2001          185.7            2.4           80.5
     10/08/2001          185.1            2.3           81.5
     11/08/2001          184.5            2.3           82.5
     12/08/2001          183.9            2.2           83.4
     13/08/2001          183.3            2.2           84.4
     14/08/2001          182.7            2.1           85.4
     15/08/2001          182.1            2.1           86.3
     16/08/2001          181.5            2.0           87.2
     17/08/2001          180.9            2.0           88.1
     18/08/2001          180.3            1.9           89.0
     19/08/2001          179.8            1.9           89.9
     20/08/2001          179.2            1.8           90.9
     21/08/2001          178.6            1.8           91.8
     22/08/2001          178.0            1.7           92.8
     23/08/2001          177.4            1.7           93.8
     24/08/2001          176.7            1.7           94.8
     25/08/2001          176.1            1.6           95.9
     26/08/2001          175.5            1.6           96.9
     27/08/2001          174.9            1.6           97.9
     28/08/2001          174.3            1.5           98.9
     29/08/2001          173.7            1.5           99.9
     30/08/2001          173.1            1.5          100.9
     31/08/2001          172.5            1.4          101.9
     01/09/2001          171.9            1.4          102.9
     02/09/2001          171.2            1.4          103.8
     03/09/2001          170.6            1.4          104.8
     04/09/2001          170.0            1.3          105.8
     05/09/2001          169.4            1.3          106.8
     06/09/2001          168.9            1.3          107.7
     07/09/2001          168.3            1.3          108.6
     08/09/2001          167.8            1.2          109.4
     09/09/2001          167.2            1.2          110.2
     10/09/2001          166.7            1.2          111.0
     11/09/2001          166.1            1.2          111.7
     12/09/2001          165.6            1.2          112.4
     13/09/2001          165.1            1.2          113.2
     14/09/2001          164.5            1.1          114.0
     15/09/2001          164.0            1.1          114.8
     16/09/2001          163.4            1.1          115.6
     17/09/2001          162.9            1.1          116.4
     18/09/2001          162.4            1.1          117.0
     19/09/2001          162.0            1.1          117.5
     20/09/2001          161.5            1.0          118.1
     21/09/2001          161.0            1.0          118.7
     22/09/2001          160.5            1.0          119.5
     23/09/2001          160.0            1.0          120.3
     24/09/2001          159.5            1.0          121.1
     25/09/2001          158.9            1.0          122.0
     26/09/2001          158.4            1.0          122.9
     27/09/2001          157.8            1.0          123.8
     28/09/2001          157.3            0.9          124.7
     29/09/2001          156.7            0.9          125.6
     30/09/2001          156.2            0.9          126.6
     01/10/2001          155.7            0.9          127.4
     02/10/2001          155.2            0.9          128.1
     03/10/2001          154.7            0.9          128.7
     04/10/2001          154.2            0.9          129.4
     05/10/2001          153.7            0.9          130.1
     06/10/2001          153.2            0.8          130.9
     07/10/2001          152.7            0.8          131.7
     08/10/2001          152.2            0.8          132.6
     09/10/2001          151.6            0.8          133.5
     10/10/2001          151.1            0.8          134.4
     11/10/2001          150.6            0.8          135.1
     12/10/2001          150.1            0.8          135.9
     13/10/2001          149.6            0.8          136.7
     14/10/2001          149.1            0.8          137.5
     15/10/2001          148.6            0.8          138.2
     16/10/2001          148.2            0.8          138.9
     17/10/2001          147.7            0.7          139.7
     18/10/2001          147.2            0.7          140.5
     19/10/2001          146.7            0.7          141.3
     20/10/2001          146.2            0.7          142.2
     21/10/2001          145.7            0.7          143.1
     22/10/2001          145.2            0.7          143.9
     23/10/2001          144.7            0.7          144.8
     24/10/2001          144.2            0.7          145.8
     25/10/2001          143.7            0.7          146.7
     26/10/2001          143.2            0.7          147.7
     27/10/2001          142.7            0.7          148.6
     28/10/2001          142.2            0.7          149.2
     29/10/2001          141.8            0.7          149.9
     30/10/2001          141.4            0.7          150.5
     31/10/2001          141.1            0.6          150.9
     01/11/2001          140.7            0.6          151.4
     02/11/2001          140.3            0.6          151.9
     03/11/2001          139.9            0.6          152.6
     04/11/2001          139.5            0.6          153.3
     05/11/2001          139.1            0.6          154.0
     06/11/2001          138.7            0.6          154.8
     07/11/2001          138.3            0.6          155.5
     08/11/2001          137.9            0.6          156.2
     09/11/2001          137.5            0.6          156.8
     10/11/2001          137.2            0.6          157.4
     11/11/2001          136.8            0.6          158.0
     12/11/2001          136.6            0.6          158.2
     13/11/2001          136.3            0.6          158.6
     14/11/2001          135.9            0.6          159.1
     15/11/2001          135.6            0.6          159.6
     16/11/2001          135.3            0.6          160.2
     17/11/2001          134.9            0.6          160.9
     18/11/2001          134.5            0.6          161.6
     19/11/2001          134.2            0.6          162.2
     20/11/2001          133.8            0.6          162.9
     21/11/2001          133.5            0.5          163.5
     22/11/2001          133.1            0.5          164.2
     23/11/2001          132.8            0.5          164.9
     24/11/2001          132.4            0.5          165.5
     25/11/2001          132.1            0.5          166.2
     26/11/2001          131.8            0.5          166.8
     27/11/2001          131.4            0.5          167.5
     28/11/2001          131.1            0.5          168.2
     29/11/2001          130.7            0.5          168.8
     30/11/2001          130.4            0.5          169.5
     01/12/2001          130.1            0.5          170.1
     02/12/2001          129.8            0.5          170.7
     03/12/2001          129.5            0.5          171.3
     04/12/2001          129.2            0.5          171.8
     05/12/2001          129.0            0.5          172.3
     06/12/2001          128.7            0.5          172.9
     07/12/2001          128.5            0.5          173.4
     08/12/2001          128.2            0.5          173.9
     09/12/2001          127.9            0.5          174.5
     10/12/2001          127.7            0.5          175.1
     11/12/2001          127.4            0.5          175.6
     12/12/2001          127.1            0.5          176.2
     13/12/2001          126.9            0.5          176.7
     14/12/2001          126.7            0.5          177.2
     15/12/2001          126.4            0.5          177.7
     16/12/2001          126.2            0.5          178.1
     17/12/2001          126.0            0.5          178.6
     18/12/2001          125.8            0.5          179.0
     19/12/2001          125.6            0.5          179.5
     20/12/2001          125.4            0.5          179.9
     21/12/2001          125.2            0.5          180.3
     22/12/2001          125.0            0.5          180.7
     23/12/2001          124.9            0.4          181.1
     24/12/2001          124.7            0.4          181.5
     25/12/2001          124.5            0.4          181.9
     26/12/2001          124.3            0.4          182.3
     27/12/2001          124.1            0.4          182.8
     28/12/2001          123.9            0.4          183.2
     29/12/2001          123.7            0.4          183.6
     30/12/2001          123.5            0.4          184.1
     31/12/2001          123.4            0.4          184.5
