ApsimVersion = 7.4
Title = Direct_seeded_rice_single
           Date           year            day            esw        no3_Tot     crop_stage            dae  total_biomass storage_organs     rice_yield           rain         dul(1)          sw(1)         sat(1)
     17/03/2001           2001             76        185.873           51.7              0              0            0.0            0.0            0.0          0.000          0.386          0.280          0.436
     18/03/2001           2001             77        185.711           52.4              0              0            0.0            0.0            0.0          0.000          0.386          0.279          0.436
     19/03/2001           2001             78        185.551           53.2              0              0            0.0            0.0            0.0          0.000          0.386          0.279          0.436
     20/03/2001           2001             79        185.393           54.0              0              0            0.0            0.0            0.0          0.000          0.386          0.278          0.436
     21/03/2001           2001             80        185.235           54.7              0              0            0.0            0.0            0.0          0.000          0.386          0.278          0.436
     22/03/2001           2001             81        185.079           55.5              0              0            0.0            0.0            0.0          0.000          0.386          0.277          0.436
     23/03/2001           2001             82        184.924           56.2              0              0            0.0            0.0            0.0          0.000          0.386          0.276          0.436
     24/03/2001           2001             83        184.770           57.0              0              0            0.0            0.0            0.0          1.000          0.386          0.276          0.436
     25/03/2001           2001             84        184.617           57.7              0              0            0.0            0.0            0.0          0.000          0.386          0.275          0.436
     26/03/2001           2001             85        184.465           58.4              0              0            0.0            0.0            0.0          0.000          0.386          0.275          0.436
     27/03/2001           2001             86        184.315           59.1              0              0            0.0            0.0            0.0          0.000          0.386          0.274          0.436
     28/03/2001           2001             87        184.165           59.8              0              0            0.0            0.0            0.0          0.000          0.386          0.274          0.436
     29/03/2001           2001             88        184.017           60.5              0              0            0.0            0.0            0.0          0.000          0.386          0.273          0.436
     30/03/2001           2001             89        183.870           61.2              0              0            0.0            0.0            0.0          0.000          0.386          0.273          0.436
     31/03/2001           2001             90        183.723           61.9              0              0            0.0            0.0            0.0          3.000          0.386          0.273          0.436
     01/04/2001           2001             91        183.578           62.6              0              0            0.0            0.0            0.0          0.000          0.386          0.272          0.436
     02/04/2001           2001             92        179.539           63.0              0              0            0.0            0.0            0.0          0.000          0.386          0.246          0.436
     03/04/2001           2001             93        182.294           63.6              0              0            0.0            0.0            0.0          7.000          0.386          0.265          0.436
     04/04/2001           2001             94        182.094           64.2              0              0            0.0            0.0            0.0          0.000          0.386          0.264          0.436
     05/04/2001           2001             95        181.895           64.8              0              0            0.0            0.0            0.0          0.000          0.386          0.263          0.436
     06/04/2001           2001             96        181.699           65.4              0              0            0.0            0.0            0.0          0.000          0.386          0.262          0.436
     07/04/2001           2001             97        181.503           66.0              0              0            0.0            0.0            0.0          0.000          0.386          0.261          0.436
     08/04/2001           2001             98        181.310           66.6              0              0            0.0            0.0            0.0          0.000          0.386          0.261          0.436
     09/04/2001           2001             99        181.118           67.2              0              0            0.0            0.0            0.0          0.000          0.386          0.260          0.436
     10/04/2001           2001            100        180.927           67.8              0              0            0.0            0.0            0.0          0.000          0.386          0.259          0.436
     11/04/2001           2001            101        180.738           68.3              0              0            0.0            0.0            0.0          0.000          0.386          0.258          0.436
     12/04/2001           2001            102        180.551           68.9              0              0            0.0            0.0            0.0          0.000          0.386          0.257          0.436
     13/04/2001           2001            103        180.365           69.4              0              0            0.0            0.0            0.0          0.000          0.386          0.257          0.436
     14/04/2001           2001            104        180.180           69.9              0              0            0.0            0.0            0.0          0.000          0.386          0.256          0.436
     15/04/2001           2001            105        179.997           70.5              0              0            0.0            0.0            0.0          0.000          0.386          0.255          0.436
     16/04/2001           2001            106        179.815           71.0              0              0            0.0            0.0            0.0          0.000          0.386          0.255          0.436
     17/04/2001           2001            107        179.635           71.5              0              0            0.0            0.0            0.0          0.000          0.386          0.254          0.436
     18/04/2001           2001            108        179.455           71.9              0              0            0.0            0.0            0.0          0.000          0.386          0.253          0.436
     19/04/2001           2001            109        179.277           72.4              0              0            0.0            0.0            0.0          2.000          0.386          0.252          0.436
     20/04/2001           2001            110        179.101           72.9              0              0            0.0            0.0            0.0          0.000          0.386          0.252          0.436
     21/04/2001           2001            111        178.925           73.4              0              0            0.0            0.0            0.0          0.000          0.386          0.251          0.436
     22/04/2001           2001            112        178.751           73.9              0              0            0.0            0.0            0.0          0.000          0.386          0.250          0.436
     23/04/2001           2001            113        178.578           74.4              0              0            0.0            0.0            0.0          1.000          0.386          0.250          0.436
     24/04/2001           2001            114        178.406           74.9              0              0            0.0            0.0            0.0          0.000          0.386          0.249          0.436
     25/04/2001           2001            115        178.235           75.4              0              0            0.0            0.0            0.0          0.000          0.386          0.248          0.436
     26/04/2001           2001            116        178.065           75.9              0              0            0.0            0.0            0.0          0.000          0.386          0.248          0.436
     27/04/2001           2001            117        177.896           76.3              0              0            0.0            0.0            0.0          0.000          0.386          0.247          0.436
     28/04/2001           2001            118        177.728           76.8              0              0            0.0            0.0            0.0          0.000          0.386          0.247          0.436
     29/04/2001           2001            119        177.562           77.3              0              0            0.0            0.0            0.0          0.000          0.386          0.246          0.436
     30/04/2001           2001            120        177.396           77.7              0              0            0.0            0.0            0.0          0.000          0.386          0.245          0.436
     01/05/2001           2001            121        181.070           78.4              0              0            0.0            0.0            0.0          8.000          0.386          0.270          0.436
     02/05/2001           2001            122        180.880           79.1              0              0            0.0            0.0            0.0          0.000          0.386          0.269          0.436
     03/05/2001           2001            123        182.647           79.8              0              0            0.0            0.0            0.0          6.000          0.386          0.282          0.436
     04/05/2001           2001            124        201.345           80.4              0              0            0.0            0.0            0.0         83.000          0.386          0.391          0.436
     05/05/2001           2001            125        200.187           81.2              0              0            0.0            0.0            0.0          0.000          0.386          0.382          0.436
     06/05/2001           2001            126        199.272           82.0              0              0            0.0            0.0            0.0          1.000          0.386          0.375          0.436
     07/05/2001           2001            127        198.492           82.8              0              0            0.0            0.0            0.0          0.000          0.386          0.370          0.436
     08/05/2001           2001            128        204.852           83.4              0              0            0.0            0.0            0.0         69.000          0.386          0.394          0.436
     09/05/2001           2001            129        207.804           83.8              0              0            0.0            0.0            0.0         54.000          0.386          0.393          0.436
     10/05/2001           2001            130        204.976           84.5              0              0            0.0            0.0            0.0          0.000          0.386          0.373          0.436
     11/05/2001           2001            131        209.206           85.0              0              0            0.0            0.0            0.0         43.000          0.386          0.388          0.436
     12/05/2001           2001            132        212.276           85.4              0              0            0.0            0.0            0.0         64.000          0.386          0.393          0.436
     13/05/2001           2001            133        209.436           86.0              0              0            0.0            0.0            0.0          0.000          0.386          0.373          0.436
     14/05/2001           2001            134        208.194           86.7              0              0            0.0            0.0            0.0          0.000          0.386          0.365          0.436
     15/05/2001           2001            135        207.234           87.5              0              0            0.0            0.0            0.0          0.000          0.386          0.359          0.436
     16/05/2001           2001            136        206.402           88.4              0              0            0.0            0.0            0.0          0.000          0.386          0.354          0.436
     17/05/2001           2001            137        205.634           89.3              0              0            0.0            0.0            0.0          0.000          0.386          0.350          0.436
     18/05/2001           2001            138        204.900           90.2              0              0            0.0            0.0            0.0          0.000          0.386          0.346          0.436
     19/05/2001           2001            139        204.185           91.2              0              0            0.0            0.0            0.0          0.000          0.386          0.343          0.436
     20/05/2001           2001            140        209.754           92.1              0              0            0.0            0.0            0.0         34.000          0.386          0.371          0.436
     21/05/2001           2001            141        208.058           92.9              0              0            0.0            0.0            0.0          0.000          0.386          0.362          0.436
     22/05/2001           2001            142        206.798           93.9              0              0            0.0            0.0            0.0          0.000          0.386          0.355          0.436
     23/05/2001           2001            143        212.402           94.6              0              0            0.0            0.0            0.0         33.000          0.386          0.383          0.436
     24/05/2001           2001            144        214.207           95.3              0              0            0.0            0.0            0.0         21.000          0.386          0.385          0.436
     25/05/2001           2001            145        212.074           95.9              0              0            0.0            0.0            0.0          3.000          0.386          0.368          0.436
     26/05/2001           2001            146        210.173           96.6              0              0            0.0            0.0            0.0          0.000          0.386          0.358          0.436
     27/05/2001           2001            147        214.714           97.2              0              0            0.0            0.0            0.0         30.000          0.386          0.381          0.436
     28/05/2001           2001            148        211.809           97.9              0              0            0.0            0.0            0.0          0.000          0.386          0.365          0.436
     29/05/2001           2001            149        210.143           98.7              0              0            0.0            0.0            0.0          0.000          0.386          0.357          0.436
     30/05/2001           2001            150        208.728           99.5              0              0            0.0            0.0            0.0          1.000          0.386          0.351          0.436
     31/05/2001           2001            151        207.442          100.4              0              0            0.0            0.0            0.0          0.000          0.386          0.346          0.436
     01/06/2001           2001            152        208.166          101.3              0              0            0.0            0.0            0.0          7.000          0.386          0.355          0.436
     02/06/2001           2001            153        210.969          102.1              0              0            0.0            0.0            0.0         14.000          0.386          0.371          0.436
     03/06/2001           2001            154        211.431          102.8              0              0            0.0            0.0            0.0          8.000          0.386          0.371          0.436
     04/06/2001           2001            155        208.497          103.5              0              0            0.0            0.0            0.0          0.000          0.386          0.355          0.436
     05/06/2001           2001            156        206.827          104.2              0              0            0.0            0.0            0.0          1.000          0.386          0.348          0.436
     06/06/2001           2001            157        214.776          104.8              0              0            0.0            0.0            0.0         77.000          0.386          0.390          0.436
     07/06/2001           2001            158        217.317          105.1              0              0            0.0            0.0            0.0         63.000          0.386          0.393          0.436
     08/06/2001           2001            159        219.181          105.3              0              0            0.0            0.0            0.0         27.000          0.386          0.393          0.436
     09/06/2001           2001            160        220.608          105.5              0              0            0.0            0.0            0.0         20.000          0.386          0.391          0.436
     10/06/2001           2001            161        222.984          105.6              0              0            0.0            0.0            0.0         66.000          0.386          0.392          0.436
     11/06/2001           2001            162        219.664          106.0              0              0            0.0            0.0            0.0          0.000          0.386          0.373          0.436
     12/06/2001           2001            163        217.703          106.5              0              0            0.0            0.0            0.0          0.000          0.386          0.365          0.436
     13/06/2001           2001            164        215.942          107.1              0              0            0.0            0.0            0.0          0.000          0.386          0.360          0.436
     14/06/2001           2001            165        221.531          107.5              0              0            0.0            0.0            0.0         76.000          0.386          0.390          0.436
     15/06/2001           2001            166        223.971          107.7              0              0            0.0            0.0            0.0        153.000          0.386          0.393          0.436
     16/06/2001           2001            167        225.516          107.7              0              0            0.0            0.0            0.0         35.000          0.386          0.393          0.436
     17/06/2001           2001            168        227.525          107.7              0              0            0.0            0.0            0.0         76.000          0.386          0.393          0.436
     18/06/2001           2001            169        228.024          107.8              0              0            0.0            0.0            0.0         16.000          0.386          0.390          0.436
     19/06/2001           2001            170        228.981          107.8              0              0            0.0            0.0            0.0         25.000          0.386          0.391          0.436
     20/06/2001           2001            171        230.714          107.8              0              0            0.0            0.0            0.0         69.000          0.386          0.393          0.436
     21/06/2001           2001            172        231.599          107.7              0              0            0.0            0.0            0.0         29.000          0.386          0.392          0.436
     22/06/2001           2001            173        232.252          107.7              0              0            0.0            0.0            0.0         26.000          0.386          0.392          0.436
     23/06/2001           2001            174        227.931          108.0              0              0            0.0            0.0            0.0          0.000          0.386          0.373          0.436
     24/06/2001           2001            175        225.003          108.4              0              0            0.0            0.0            0.0          3.000          0.386          0.364          0.436
     25/06/2001           2001            176        222.314          109.0              0              0            0.0            0.0            0.0          0.000          0.386          0.358          0.436
     26/06/2001           2001            177        219.760          109.6              0              0            0.0            0.0            0.0          3.000          0.386          0.353          0.436
     27/06/2001           2001            178        225.448          110.0              0              0            0.0            0.0            0.0         83.000          0.386          0.389          0.436
     28/06/2001           2001            179        221.039          110.6              0              0            0.0            0.0            0.0          0.000          0.386          0.371          0.436
     29/06/2001           2001            180        220.137          111.1              0              0            0.0            0.0            0.0          8.000          0.386          0.370          0.436
     30/06/2001           2001            181        219.093          111.7              0              0            0.0            0.0            0.0          7.000          0.386          0.369          0.436
     01/07/2001           2001            182        221.787          112.1              4              1            0.2            0.0            0.0         32.000          0.386          0.385          0.436
     02/07/2001           2001            183        223.021          112.3              4              2            1.2            0.0            0.0         29.000          0.386          0.389          0.436
     03/07/2001           2001            184        219.948          112.6              4              3            2.3            0.0            0.0          3.000          0.386          0.372          0.436
     04/07/2001           2001            185        216.927          113.0              4              4            3.4            0.0            0.0          0.000          0.386          0.361          0.436
     05/07/2001           2001            186        214.518          113.5              4              5            4.6            0.0            0.0          0.000          0.386          0.353          0.436
     06/07/2001           2001            187        212.787          114.1              4              6            5.8            0.0            0.0          5.000          0.386          0.350          0.436
     07/07/2001           2001            188        212.419          114.7              4              7            7.1            0.0            0.0          6.000          0.386          0.355          0.436
     08/07/2001           2001            189        210.337          115.4              4              8            8.5            0.0            0.0          0.000          0.386          0.349          0.436
     09/07/2001           2001            190        208.476          116.0              4              9            9.9            0.0            0.0          0.000          0.386          0.343          0.436
     10/07/2001           2001            191        216.377          116.5              4             10           12.0            0.0            0.0         43.000          0.386          0.389          0.436
     11/07/2001           2001            192        218.749          116.6              4             11           14.4            0.0            0.0         37.000          0.386          0.393          0.436
     12/07/2001           2001            193        218.547          116.9              4             12           17.0            0.0            0.0          8.000          0.386          0.385          0.436
     13/07/2001           2001            194        217.764          117.1              4             13           20.0            0.0            0.0          6.000          0.386          0.377          0.436
     14/07/2001           2001            195        220.432          117.2              4             14           23.7            0.0            0.0         28.000          0.386          0.387          0.436
     15/07/2001           2001            196        220.846          117.3              4             15           27.9            0.0            0.0         10.000          0.386          0.384          0.436
     16/07/2001           2001            197        219.550          117.4              4             16           32.8            0.0            0.0          5.000          0.386          0.374          0.436
     17/07/2001           2001            198        217.095          117.6              4             17           38.2            0.0            0.0          3.000          0.386          0.362          0.436
     18/07/2001           2001            199        214.175          117.9              4             18           44.3            0.0            0.0          1.000          0.386          0.350          0.436
     19/07/2001           2001            200        211.791          118.2              4             19           51.2            0.0            0.0          1.000          0.386          0.341          0.436
     20/07/2001           2001            201        211.242          118.4              4             20           58.9            0.0            0.0          5.000          0.386          0.345          0.436
     21/07/2001           2001            202        208.877          118.8              4             21           67.3            0.0            0.0          2.000          0.386          0.337          0.436
     22/07/2001           2001            203        206.691          119.0              4             22           76.7            0.0            0.0          1.000          0.386          0.330          0.436
     23/07/2001           2001            204        217.027          118.7              4             23           90.8            0.0            0.0         36.000          0.386          0.389          0.436
     24/07/2001           2001            205        220.633          118.1              4             24          107.0            0.0            0.0         39.000          0.386          0.391          0.436
     25/07/2001           2001            206        219.156          117.7              4             25          123.9            0.0            0.0          4.000          0.386          0.380          0.436
     26/07/2001           2001            207        217.786          117.1              4             26          143.3            0.0            0.0          4.000          0.386          0.373          0.436
     27/07/2001           2001            208        222.359          116.2              4             27          165.6            0.0            0.0         21.000          0.386          0.394          0.436
     28/07/2001           2001            209        218.427          115.6              4             28          190.7            0.0            0.0          0.000          0.386          0.374          0.436
     29/07/2001           2001            210        226.559          114.1              4             29          220.7            0.0            0.0         57.000          0.386          0.395          0.436
     30/07/2001           2001            211        229.191          112.4              4             30          255.9            0.0            0.0         12.000          0.386          0.396          0.436
     31/07/2001           2001            212        230.272          110.5              4             31          296.4            0.0            0.0          8.000          0.386          0.397          0.436
     01/08/2001           2001            213        238.047          108.1              4             32          343.6            0.0            0.0         43.000          0.386          0.398          0.436
     02/08/2001           2001            214        239.573          105.5              4             33          398.5            0.0            0.0          9.000          0.386          0.398          0.436
     03/08/2001           2001            215        237.337          103.0              4             34          459.8            0.0            0.0          4.000          0.386          0.390          0.436
     04/08/2001           2001            216        231.160          100.8              4             35          527.4            0.0            0.0          0.000          0.386          0.370          0.436
     05/08/2001           2001            217        234.183           97.5              4             36          610.4            0.0            0.0         11.000          0.386          0.399          0.436
     06/08/2001           2001            218        238.364           94.3              4             37          697.8            0.0            0.0         15.000          0.386          0.400          0.436
     07/08/2001           2001            219        230.369           91.0              4             38          799.1            0.0            0.0          0.000          0.386          0.372          0.436
     08/08/2001           2001            220        227.070           88.7              4             39          897.6            0.0            0.0          4.000          0.386          0.375          0.436
     09/08/2001           2001            221        225.665           84.7              4             40         1019.0            0.0            0.0          7.000          0.386          0.386          0.436
     10/08/2001           2001            222        217.893           80.9              4             41         1157.6            0.0            0.0          2.000          0.386          0.367          0.436
     11/08/2001           2001            223        212.091           77.7              4             42         1297.8            0.0            0.0          3.000          0.386          0.362          0.436
     12/08/2001           2001            224        204.271           75.5              4             43         1425.7            0.0            0.0          0.000          0.386          0.340          0.436
     13/08/2001           2001            225        196.786           72.7              4             44         1559.7            0.0            0.0          0.000          0.386          0.321          0.436
     14/08/2001           2001            226        191.823           70.3              4             45         1694.7            0.0            0.0          2.000          0.386          0.315          0.436
     15/08/2001           2001            227        213.852           65.8              4             46         1859.8            0.0            0.0         31.000          0.386          0.402          0.436
     16/08/2001           2001            228        211.347           62.4              4             47         2028.4            0.0            0.0          4.000          0.386          0.397          0.436
     17/08/2001           2001            229        211.053           58.8              4             48         2206.8            0.0            0.0          6.000          0.386          0.402          0.436
     18/08/2001           2001            230        206.482           54.4              4             49         2414.6            0.0            0.0          3.000          0.386          0.388          0.436
     19/08/2001           2001            231        200.394           52.8              4             50         2594.6            0.0            0.0          0.000          0.386          0.369          0.436
     20/08/2001           2001            232        194.008           50.3              4             51         2788.1            3.9            0.0          0.000          0.386          0.349          0.436
     21/08/2001           2001            233        187.600           47.9              4             52         2994.7           15.8            0.0          0.000          0.386          0.331          0.436
     22/08/2001           2001            234        181.562           45.6              4             53         3209.9           36.4            0.0          1.000          0.386          0.315          0.436
     23/08/2001           2001            235        178.542           43.9              4             54         3423.5           64.8            0.0          4.000          0.386          0.320          0.436
     24/08/2001           2001            236        177.830           43.1              4             55         3609.1           96.2            0.0          5.000          0.386          0.334          0.436
     25/08/2001           2001            237        190.200           41.5              4             56         3810.2          137.7            0.0         18.000          0.386          0.402          0.436
     26/08/2001           2001            238        187.572           40.2              4             57         4009.4          186.3            0.0          3.000          0.386          0.392          0.436
     27/08/2001           2001            239        188.061           38.6              4             58         4218.5          245.2            0.0          6.000          0.386          0.400          0.436
     28/08/2001           2001            240        184.495           37.5              4             59         4418.4          309.0            0.0          2.000          0.386          0.386          0.436
     29/08/2001           2001            241        179.973           36.4              4             60         4619.6          380.5            0.0          1.000          0.386          0.372          0.436
     30/08/2001           2001            242        188.327           34.9              4             61         4825.4          461.5            0.0         14.000          0.386          0.402          0.436
     31/08/2001           2001            243        181.400           33.0              4             62         5069.5          566.5            0.0          0.000          0.386          0.373          0.436
     01/09/2001           2001            244        186.967           31.9              4             63         5277.6          663.9            0.0         11.000          0.386          0.401          0.436
     02/09/2001           2001            245        181.173           30.7              4             64         5493.4          772.9          109.0          0.000          0.386          0.376          0.436
     03/09/2001           2001            246        177.283           29.9              4             65         5712.3          891.5          227.6          2.000          0.386          0.367          0.436
     04/09/2001           2001            247        171.312           29.9              4             66         5939.3         1022.5          358.6          0.000          0.386          0.345          0.436
     05/09/2001           2001            248        169.075           29.9              4             67         6135.4         1182.3          518.4          3.000          0.386          0.345          0.436
     06/09/2001           2001            249        191.993           29.9              4             68         6327.1         1357.1          693.2         31.000          0.386          0.402          0.436
     07/09/2001           2001            250        195.780           30.0              4             69         6522.8         1551.6          887.7          9.000          0.386          0.404          0.436
     08/09/2001           2001            251        194.561           30.0              4             70         6706.8         1752.2         1088.3          4.000          0.386          0.400          0.436
     09/09/2001           2001            252        189.397           30.0              4             71         6886.8         1963.4         1299.5          0.000          0.386          0.378          0.436
     10/09/2001           2001            253        206.280           30.0              4             72         7079.7         2198.9         1535.0         28.000          0.386          0.405          0.436
     11/09/2001           2001            254        215.764           30.1              4             73         7262.7         2420.2         1756.3         17.000          0.386          0.403          0.436
     12/09/2001           2001            255        212.689           30.1              4             74         7438.9         2631.0         1967.1          2.000          0.386          0.391          0.436
     13/09/2001           2001            256        207.671           30.1              4             75         7615.4         2838.6         2174.7          0.000          0.386          0.374          0.436
     14/09/2001           2001            257        217.784           30.1              4             76         7808.8         3060.0         2396.1         18.000          0.386          0.401          0.436
