ApsimVersion = 7.7
Title = Rice-wheat1
           Date           year            day            esw        no3_Tot     crop_stage            dae  total_biomass storage_organs     rice_yield        N_avail           rain         dul(1)          sw(1)          no3()         NH4(1)         NH4(2)         NH4(3)         NH4(4)         NH4(5)         NH4(6)          drain     irrigation     wheat_biom    wheat_yield         runoff
     27/06/2001           2001            178        285.355           11.0              0              0            0.0            0.0            0.0            5.6         83.000          0.386          0.407           11.0            5.2            0.8            0.4            0.0            0.0            0.0          1.000          0.000            0.0            0.0         38.498
     28/06/2001           2001            179        285.065           10.9              0              0            0.0            0.0            0.0            5.9          0.000          0.386          0.405           10.9            5.5            0.9            0.4            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     29/06/2001           2001            180        285.340           10.8              0              0            0.0            0.0            0.0            6.1          8.000          0.386          0.407           10.8            5.7            0.9            0.4            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     30/06/2001           2001            181        285.401           10.7              0              0            0.0            0.0            0.0            6.4          7.000          0.386          0.408           10.7            6.0            1.0            0.5            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     01/07/2001           2001            182        285.471           10.5              0              0            0.0            0.0            0.0            6.6         32.000          0.386          0.408           10.5            6.2            1.1            0.5            0.0            0.0            0.0          1.000          0.000            0.0            0.0          7.165
     02/07/2001           2001            183        285.435           10.4              0              0            0.0            0.0            0.0            6.8         29.000          0.386          0.408           10.4            6.5            1.1            0.5            0.0            0.0            0.0          1.000          0.000            0.0            0.0         19.523
     03/07/2001           2001            184        285.368           10.3              0              0            0.0            0.0            0.0            7.1          3.000          0.386          0.407           10.3            6.7            1.2            0.6            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     04/07/2001           2001            185        284.280           10.2              0              0            0.0            0.0            0.0            7.3          0.000          0.386          0.400           10.2            7.0            1.2            0.6            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     05/07/2001           2001            186        284.355           10.1              0              0            0.0            0.0            0.0            7.5          0.000          0.386          0.401           10.1            7.2            1.3            0.6            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     06/07/2001           2001            187        284.744           10.0              0              0            0.0            0.0            0.0            7.8          5.000          0.386          0.403           10.0            7.5            1.3            0.7            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     07/07/2001           2001            188        285.339            9.8              0              0            0.0            0.0            0.0            8.1          6.000          0.386          0.407            9.8            7.7            1.4            0.7            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     08/07/2001           2001            189        284.992            9.7              0              0            0.0            0.0            0.0            8.4          0.000          0.386          0.405            9.7            8.0            1.5            0.7            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     09/07/2001           2001            190        285.339            9.6              0              0            0.0            0.0            0.0            8.6          0.000          0.386          0.407            9.6            8.3            1.5            0.8            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     10/07/2001           2001            191        285.419            9.5              0              0            0.0            0.0            0.0            8.9         43.000          0.386          0.408            9.5            8.6            1.6            0.8            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     11/07/2001           2001            192        285.408            9.4              0              0            0.0            0.0            0.0            9.2         37.000          0.386          0.408            9.4            8.9            1.7            0.9            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     12/07/2001           2001            193        285.326            9.3              0              0            0.0            0.0            0.0            9.4          8.000          0.386          0.407            9.3            9.1            1.8            0.9            0.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     13/07/2001           2001            194        285.353            9.2              0              0            0.0            0.0            0.0            9.7          6.000          0.386          0.407            9.2            9.4            1.8            1.0            0.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     14/07/2001           2001            195        285.344            9.1              0              0            0.0            0.0            0.0            9.9         28.000          0.386          0.407            9.1            9.7            1.9            1.0            0.1            0.0            0.0          1.000          0.000            0.0            0.0         10.822
     15/07/2001           2001            196        285.341            9.0              2              1            4.6            0.0            0.0           46.8         10.000          0.386          0.407            9.0           46.5            2.4            1.0            0.1            0.0            0.0          1.000          0.000            0.0            0.0          0.448
     16/07/2001           2001            197        285.603            8.9              2              2            9.9            0.0            0.0           56.2          5.000          0.386          0.409            8.9           56.0            2.8            1.1            0.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     17/07/2001           2001            198        285.627            8.8              2              3           16.2            0.0            0.0           58.7          3.000          0.386          0.409            8.8           58.5            3.0            1.1            0.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     18/07/2001           2001            199        285.724            8.7              2              4           23.6            0.0            0.0           59.5          1.000          0.386          0.410            8.7           59.3            3.2            1.2            0.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     19/07/2001           2001            200        285.643            8.6              2              5           32.4            0.0            0.0           59.9          1.000          0.386          0.409            8.6           59.6            3.2            1.2            0.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     20/07/2001           2001            201        285.879            8.5              2              6           42.6            0.0            0.0           60.2          5.000          0.386          0.411            8.5           59.9            3.3            1.3            0.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     21/07/2001           2001            202        285.968            8.4              2              7           54.5            0.0            0.0           60.4          2.000          0.386          0.411            8.4           60.2            3.4            1.3            0.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     22/07/2001           2001            203        286.121            8.3              2              8           68.5            0.0            0.0           60.7          1.000          0.386          0.412            8.3           60.4            3.5            1.4            0.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     23/07/2001           2001            204        285.631            8.2              2              9           86.3            0.0            0.0           60.9         36.000          0.386          0.409            8.2           60.7            3.6            1.4            0.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     24/07/2001           2001            205        286.020            8.1              2             10          106.7            0.0            0.0           61.2         39.000          0.386          0.412            8.1           61.0            3.7            1.5            0.1            0.0            0.0          1.000          0.000            0.0            0.0         12.838
     25/07/2001           2001            206        286.606            8.0              2             11          129.7            0.0            0.0           61.4          4.000          0.386          0.416            8.0           61.2            3.7            1.5            0.2            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     26/07/2001           2001            207        286.809            7.9              2             12          156.8            0.0            0.0           61.6          4.000          0.386          0.417            7.9           61.4            3.8            1.6            0.2            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     27/07/2001           2001            208        286.889            7.8              2             13          187.7            0.0            0.0           61.9         21.000          0.386          0.418            7.8           61.7            3.9            1.6            0.2            0.0            0.0          1.000          0.000            0.0            0.0          6.970
     28/07/2001           2001            209        287.098            7.7              2             14          224.0            0.0            0.0           62.1          0.000          0.386          0.419            7.7           61.9            4.0            1.7            0.2            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     29/07/2001           2001            210        287.284            7.6              2             15          266.2            0.0            0.0           62.3         57.000          0.386          0.420            7.6           62.2            4.1            1.7            0.2            0.0            0.0          1.000          0.000            0.0            0.0         44.373
     30/07/2001           2001            211        287.520            7.5              2             16          315.6            0.0            0.0           67.1         12.000          0.386          0.422            7.5           62.4            4.1            1.8            0.2            0.0            0.0          1.000          0.000            0.0            0.0          6.269
     31/07/2001           2001            212        287.493            7.5              2             17          360.5            0.0            0.0           67.4          8.000          0.386          0.422            7.5           62.6            4.2            1.8            0.2            0.0            0.0          1.000          0.000            0.0            0.0          2.740
     01/08/2001           2001            213        287.590            7.4              2             18          413.0            0.0            0.0           67.7         43.000          0.386          0.422            7.4           62.9            4.3            1.9            0.2            0.0            0.0          1.000          0.000            0.0            0.0         37.686
     02/08/2001           2001            214        287.587            7.3              2             19          462.2            0.0            0.0           68.0          9.000          0.386          0.422            7.3           63.1            4.4            1.9            0.2            0.0            0.0          1.000          0.000            0.0            0.0          3.880
     03/08/2001           2001            215        287.553            7.2              2             20          513.7            0.0            0.0           68.3          4.000          0.386          0.422            7.2           63.3            4.5            2.0            0.2            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     04/08/2001           2001            216        287.619            7.1              2             21          568.5            0.0            0.0           98.3          0.000          0.386          0.422            7.1           92.9            4.9            2.0            0.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     05/08/2001           2001            217        287.765            7.0              2             22          628.5            0.0            0.0          106.0         11.000          0.386          0.423            7.0          100.3            5.2            2.1            0.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     06/08/2001           2001            218        287.803            7.0              2             23          691.1            0.0            0.0          108.2         15.000          0.386          0.424            7.0          102.3            5.4            2.1            0.3            0.0            0.0          1.000          0.000            0.0            0.0          9.847
     07/08/2001           2001            219        287.462            6.9              2             24          760.6            0.0            0.0          108.9          0.000          0.386          0.421            6.9          102.9            5.6            2.2            0.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     08/08/2001           2001            220        287.947            6.8              3             25          108.4            0.0            0.0          109.2          4.000          0.386          0.425            6.8          103.1            5.7            2.2            0.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     09/08/2001           2001            221        287.264            6.6              4             26          112.4            0.0            0.0          103.4          7.000          0.386          0.420            6.6           98.5            5.8            2.3            0.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     10/08/2001           2001            222        286.734            6.5              4             27          119.5            0.0            0.0           98.7          2.000          0.386          0.417            6.5           98.2            5.9            2.3            0.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     11/08/2001           2001            223        287.133            6.5              4             28          126.1            0.0            0.0           98.4          3.000          0.386          0.419            6.5           98.1            6.0            2.4            0.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     12/08/2001           2001            224        287.494            6.4              4             29          131.7            0.0            0.0           98.3          0.000          0.386          0.422            6.4           98.1            6.1            2.4            0.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     13/08/2001           2001            225        287.399            6.3              4             30          137.3            0.0            0.0           98.3          0.000          0.386          0.421            6.3           98.1            6.2            2.5            0.4            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     14/08/2001           2001            226        287.679            6.2              4             31          142.8            0.0            0.0           98.2          2.000          0.386          0.423            6.2           98.0            6.3            2.6            0.4            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     15/08/2001           2001            227        287.734            6.2              4             32          148.4            0.0            0.0           98.2         31.000          0.386          0.423            6.2           97.9            6.4            2.6            0.4            0.0            0.0          1.000          0.000            0.0            0.0          1.676
     16/08/2001           2001            228        287.660            6.1              4             33          154.8            0.0            0.0           98.1          4.000          0.386          0.423            6.1           97.8            6.5            2.7            0.4            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     17/08/2001           2001            229        287.634            6.0              4             34          162.6            0.0            0.0           97.9          6.000          0.386          0.423            6.0           97.6            6.6            2.7            0.4            0.0            0.0          1.000          0.000            0.0            0.0          0.645
     18/08/2001           2001            230        287.048            5.7              4             35          173.2            0.0            0.0           97.7          3.000          0.386          0.419            5.7           97.4            6.6            2.8            0.4            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     19/08/2001           2001            231        287.506            5.7              4             36          184.0            0.0            0.0          104.3          0.000          0.386          0.422            5.7           97.2            6.7            2.8            0.4            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     20/08/2001           2001            232        287.282            5.6              4             37          197.7            0.0            0.0          104.1          0.000          0.386          0.421            5.6           96.8            6.8            2.9            0.4            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     21/08/2001           2001            233        286.989            5.5              4             38          215.0            0.0            0.0          103.8          0.000          0.386          0.419            5.5           96.3            6.8            2.9            0.5            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     22/08/2001           2001            234        286.769            5.5              4             39          236.1            0.0            0.0          103.4          1.000          0.386          0.418            5.5           95.6            6.8            3.0            0.5            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     23/08/2001           2001            235        286.635            5.4              4             40          260.7            0.0            0.0          102.7          4.000          0.386          0.417            5.4           94.9            6.9            3.1            0.5            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     24/08/2001           2001            236        287.086            5.4              4             41          285.9            0.0            0.0          102.0          5.000          0.386          0.420            5.4           94.3            6.9            3.1            0.5            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     25/08/2001           2001            237        286.993            5.3              4             42          315.6            0.0            0.0          101.5         18.000          0.386          0.420            5.3           93.4            6.9            3.2            0.5            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     26/08/2001           2001            238        286.825            5.2              4             43          350.1            0.0            0.0          100.6          3.000          0.386          0.420            5.2           92.3            6.9            3.2            0.5            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     27/08/2001           2001            239        286.713            5.2              4             44          391.5            0.0            0.0           99.6          6.000          0.386          0.420            5.2           91.1            6.9            3.3            0.5            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     28/08/2001           2001            240        286.485            5.1              4             45          438.4            0.0            0.0           98.3          2.000          0.386          0.419            5.1           89.8            6.9            3.3            0.6            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     29/08/2001           2001            241        286.297            5.1              4             46          493.2            0.0            0.0           97.0          1.000          0.386          0.418            5.1           88.2            6.9            3.4            0.6            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     30/08/2001           2001            242        286.059            5.0              4             47          557.0            0.0            0.0           95.3         14.000          0.386          0.418            5.0           86.4            6.8            3.5            0.6            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     31/08/2001           2001            243        284.793            5.0              4             48          641.4            0.0            0.0           93.5          0.000          0.386          0.412            5.0           83.7            6.7            3.5            0.6            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     01/09/2001           2001            244        285.541            4.9              4             49          729.6            0.0            0.0           90.7         11.000          0.386          0.417            4.9           81.6            6.6            3.6            0.6            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     02/09/2001           2001            245        285.250            3.9              4             50          823.0            0.0            0.0           88.5          0.000          0.386          0.416            3.9           80.3            6.6            3.6            0.6            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     03/09/2001           2001            246        285.003            3.8              4             51          923.9            0.0            0.0           90.9          2.000          0.386          0.415            3.8           78.1            6.5            3.5            0.6            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     04/09/2001           2001            247        284.750            3.8              4             52         1036.3            0.0            0.0           88.5          0.000          0.386          0.414            3.8           75.6            6.3            3.5            0.7            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     05/09/2001           2001            248        285.176            3.8              4             53         1150.7            0.0            0.0           85.8          3.000          0.386          0.417            3.8           73.6            6.2            3.4            0.7            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     06/09/2001           2001            249        284.999            3.7              4             54         1272.4            0.0            0.0           83.6         31.000          0.386          0.416            3.7           71.3            6.1            3.3            0.7            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     07/09/2001           2001            250        284.963            3.7              4             55         1404.0            0.0            0.0           81.2          9.000          0.386          0.417            3.7           69.0            6.0            3.3            0.7            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     08/09/2001           2001            251        284.774            3.6              4             56         1539.5            0.0            0.0           78.6          4.000          0.386          0.417            3.6           66.9            5.9            3.2            0.7            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     09/09/2001           2001            252        284.722            3.6              4             57         1681.4            2.2            0.0           76.4          0.000          0.386          0.417            3.6           65.0            5.8            3.2            0.7            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     10/09/2001           2001            253        284.826            3.6              4             58         1837.2           11.2            0.0           74.3         28.000          0.386          0.418            3.6           62.9            5.7            3.1            0.7            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     11/09/2001           2001            254        284.265            3.5              4             59         1995.1           26.5            0.0           72.0         17.000          0.386          0.416            3.5           61.2            5.6            3.1            0.8            0.0            0.0          1.000          0.000            0.0            0.0          3.161
     12/09/2001           2001            255        284.565            3.5              4             60         2153.5           48.5            0.0           70.2          2.000          0.386          0.418            3.5           59.7            5.5            3.0            0.8            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     13/09/2001           2001            256        284.636            3.5              4             61         2317.1           78.1            0.0           68.7          0.000          0.386          0.418            3.5           58.3            5.5            3.0            0.8            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     14/09/2001           2001            257        283.472            3.4              4             62         2501.6          119.2            0.0           67.2         18.000          0.386          0.414            3.4           56.5            5.4            3.0            0.8            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     15/09/2001           2001            258        283.550            3.4              4             63         2686.9          168.1            0.0           65.3          0.000          0.386          0.415            3.4           55.1            5.3            2.9            0.8            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     16/09/2001           2001            259        284.752            3.4              4             64         2864.1          222.2            0.0           63.7          0.000          0.386          0.419            3.4           53.8            5.2            2.9            0.8            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     17/09/2001           2001            260        284.916            3.3              4             65         3049.6          286.5            0.0           62.4          7.000          0.386          0.420            3.3           52.3            5.1            2.9            0.8            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     18/09/2001           2001            261        284.908            3.3              4             66         3236.5          358.3            0.0           60.7         66.000          0.386          0.420            3.3           50.8            5.1            2.8            0.9            0.0            0.0          1.000          0.000            0.0            0.0         39.323
     19/09/2001           2001            262        284.891            3.3              4             67         3421.4          436.2            0.0           59.1          6.000          0.386          0.419            3.3           49.4            5.0            2.8            0.9            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     20/09/2001           2001            263        284.700            3.2              4             68         3596.1          516.6            0.0           57.5          5.000          0.386          0.419            3.2           48.3            4.9            2.7            0.9            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     21/09/2001           2001            264        284.710            3.2              4             69         3769.1          603.3           86.7           56.3          0.000          0.386          0.419            3.2           47.2            4.9            2.7            0.9            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     22/09/2001           2001            265        284.349            3.2              4             70         3946.5          699.2          182.6           55.1          0.000          0.386          0.418            3.2           46.0            4.8            2.7            0.9            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     23/09/2001           2001            266        284.742            3.1              4             71         4118.6          799.4          282.8           53.9          0.000          0.386          0.419            3.1           44.6            4.7            2.6            0.9            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     24/09/2001           2001            267        284.858            3.1              4             72         4285.4          930.7          414.1           52.4          5.000          0.386          0.419            3.1           42.8            4.6            2.6            0.9            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     25/09/2001           2001            268        284.485            3.1              4             73         4458.2         1074.0          557.4           50.4          3.000          0.386          0.418            3.1           41.1            4.5            2.5            1.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     26/09/2001           2001            269        283.131            3.0              4             74         4634.8         1228.2          711.6           48.5          0.000          0.386          0.413            3.0           39.4            4.4            2.4            1.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     27/09/2001           2001            270        284.859            3.0              4             75         4787.9         1371.8          855.2           46.6          1.000          0.386          0.419            3.0           37.8            4.2            2.4            1.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     28/09/2001           2001            271        283.789            3.0              4             76         4956.8         1534.7         1018.0           44.9          0.000          0.386          0.416            3.0           36.0            4.1            2.3            1.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     29/09/2001           2001            272        282.731            2.9              4             77         5142.3         1718.9         1202.3           42.9          0.000          0.386          0.412            2.9           33.9            3.9            2.2            1.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     30/09/2001           2001            273        285.212            2.9              4             78         5303.7         1889.5         1372.9           40.6          0.000          0.386          0.420            2.9           32.1            3.8            2.1            1.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     01/10/2001           2001            274        285.171            2.9              4             79         5460.3         2061.6         1544.9           38.4         38.000          0.386          0.420            2.9           30.1            3.6            2.0            1.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     02/10/2001           2001            275        285.141            2.8              4             80         5608.4         2230.9         1714.3           36.2          7.000          0.386          0.420            2.8           28.2            3.4            1.9            1.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     03/10/2001           2001            276        285.188            2.8              4             81         5752.7         2396.8         1880.2           34.0          6.000          0.386          0.420            2.8           26.4            3.3            1.8            1.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     04/10/2001           2001            277        285.278            2.8              4             82         5899.0         2562.5         2045.9           31.9          2.000          0.386          0.421            2.8           24.5            3.1            1.7            1.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     05/10/2001           2001            278        283.990            2.8              4             83         6064.4         2745.3         2228.7           29.8         15.000          0.386          0.416            2.8           22.5            2.9            1.6            1.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     06/10/2001           2001            279        285.363            2.7              4             84         6203.0         2899.7         2383.0           27.5          0.000          0.386          0.421            2.7           20.8            2.7            1.5            1.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     07/10/2001           2001            280        284.011            2.7              4             85         6369.1         3079.8         2563.2           25.6          2.000          0.386          0.416            2.7           18.9            2.5            1.4            1.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     08/10/2001           2001            281        283.493            2.7              4             86         6537.0         3260.5         2743.9           23.3          0.000          0.386          0.414            2.7           16.9            2.3            1.3            1.2            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     09/10/2001           2001            282        284.987            2.6              4             87         6678.0         3412.9         2896.3           21.0          0.000          0.386          0.419            2.6           15.3            2.2            1.2            1.2            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     10/10/2001           2001            283        285.791            2.6              4             88         6821.8         3567.0         3050.4           19.2         16.000          0.386          0.422            2.6           13.7            2.0            1.1            1.2            0.0            0.0          1.000          0.000            0.0            0.0          0.000
