ApsimVersion = 7.3
Title = Millet
           Date   millet.stage  millet1.stage  millet2.stage  millet3.stage  millet4.stage  millet5.stage millet.plant_status millet1.plant_status millet2.plant_status millet3.plant_status millet4.plant_status millet5.plant_status millet_biomass   millet_yield     millet_lai millet.biomass millet1.biomass millet2.biomass millet3.biomass millet4.biomass millet5.biomass   millet.yield  millet1.yield  millet2.yield  millet3.yield  millet4.yield  millet5.yield     millet.lai    millet1.lai    millet2.lai    millet3.lai    millet4.lai    millet5.lai
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()                  ()                   ()                   ()                   ()                   ()                   ()             ()             ()             ()        (kg/ha)         (kg/ha)         (kg/ha)         (kg/ha)         (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)      (m^2/m^2)      (m^2/m^2)      (m^2/m^2)      (m^2/m^2)      (m^2/m^2)
     08/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     09/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     10/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     11/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     12/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     13/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     14/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     15/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     16/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     17/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     18/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     19/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     20/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     21/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     22/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     23/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     24/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     25/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     26/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     27/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     28/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     29/02/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     01/03/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     02/03/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     03/03/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     04/03/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     05/03/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     06/03/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     07/03/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     08/03/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     09/03/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     10/03/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     11/03/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     12/03/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     13/03/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     14/03/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     15/03/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     16/03/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     17/03/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     18/03/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     19/03/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     20/03/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     21/03/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
