ApsimVersion = 7.10
Title = Canopy
           Date       sw_dep()     lai_cowpea      lai_maize  cover_tot_sum    biom_cowpea     biom_maize
     14/05/1988       1369.613          0.000          0.850          0.794            0.0         5217.6
     15/05/1988       1368.573          0.000          0.850          0.794            0.0         5217.6
     16/05/1988       1367.626          0.000          0.850          0.794            0.0         5217.6
     17/05/1988       1367.111          0.000          0.850          0.794            0.0         5217.6
     18/05/1988       1390.430          0.000          0.850          0.794            0.0         5217.6
     19/05/1988       1389.350          0.000          0.813          0.794            0.0         5217.6
     20/05/1988       1388.583          0.000          0.778          0.794            0.0         5217.6
     21/05/1988       1388.329          0.000          0.742          0.794            0.0         5217.6
     22/05/1988       1387.371          0.000          0.706          0.794            0.0         5217.6
     23/05/1988       1386.299          0.000          0.659          0.794            0.0         5217.6
     24/05/1988       1385.499          0.000          0.608          0.794            0.0         5217.6
     25/05/1988       1384.540          0.000          0.570          0.794            0.0         5217.6
     26/05/1988       1383.442          0.000          0.520          0.794            0.0         5217.6
     27/05/1988       1382.407          0.000          0.467          0.794            0.0         5217.6
     28/05/1988       1381.511          0.000          0.424          0.794            0.0         5217.6
     29/05/1988       1380.586          0.000          0.384          0.794            0.0         5217.6
     30/05/1988       1379.568          0.000          0.347          0.794            0.0         5217.6
     31/05/1988       1378.610          0.000          0.304          0.794            0.0         5217.6
     01/06/1988       1377.993          0.000          0.256          0.794            0.0         5217.6
     02/06/1988       1377.282          0.000          0.208          0.794            0.0         5217.6
     03/06/1988       1376.547          0.000          0.156          0.794            0.0         5217.6
     04/06/1988       1376.237          0.000          0.101          0.794            0.0         5217.6
     05/06/1988       1397.768          0.000          0.036          0.794            0.0         5217.6
     06/06/1988       1400.230          0.000          0.036          0.794            0.0         5217.6
     07/06/1988       1399.539          0.000          0.036          0.794            0.0         5217.6
     08/06/1988       1398.842          0.000          0.036          0.794            0.0         5217.6
     09/06/1988       1398.155          0.000          0.036          0.794            0.0         5217.6
     10/06/1988       1397.442          0.000          0.036          0.794            0.0         5217.6
     11/06/1988       1396.758          0.000          0.036          0.794            0.0         5217.6
     12/06/1988       1396.113          0.000          0.036          0.794            0.0         5217.6
     13/06/1988       1395.395          0.000          0.036          0.794            0.0         5217.6
     14/06/1988       1394.701          0.000          0.036          0.794            0.0         5217.6
     15/06/1988       1393.961          0.000          0.036          0.794            0.0         5217.6
     16/06/1988       1393.344          0.000          0.036          0.794            0.0         5217.6
     17/06/1988       1392.703          0.000          0.036          0.794            0.0         5217.6
     18/06/1988       1392.010          0.000          0.036          0.794            0.0         5217.6
     19/06/1988       1391.310          0.000          0.036          0.794            0.0         5217.6
     20/06/1988       1390.599          0.000          0.036          0.794            0.0         5217.6
     21/06/1988       1389.867          0.000          0.036          0.794            0.0         5217.6
     22/06/1988       1389.182          0.000          0.036          0.794            0.0         5217.6
     23/06/1988       1388.478          0.000          0.036          0.794            0.0         5217.6
     24/06/1988       1387.806          0.000          0.036          0.794            0.0         5217.6
     25/06/1988       1387.148          0.000          0.036          0.794            0.0         5217.6
     26/06/1988       1386.508          0.000          0.036          0.794            0.0         5217.6
     27/06/1988       1385.743          0.000          0.036          0.794            0.0         5217.6
     28/06/1988       1385.005          0.000          0.036          0.794            0.0         5217.6
     29/06/1988       1384.324          0.000          0.036          0.794            0.0         5217.6
     30/06/1988       1383.609          0.000          0.036          0.794            0.0         5217.6
     01/07/1988       1382.916          0.000          0.036          0.794            0.0         5217.6
     02/07/1988       1382.409          0.000          0.036          0.794            0.0         5217.6
     03/07/1988       1382.100          0.000          0.036          0.794            0.0         5217.6
     04/07/1988       1382.864          0.000          0.036          0.794            0.0         5217.6
     05/07/1988       1409.814          0.000          0.036          0.794            0.0         5217.6
     06/07/1988       1443.205          0.000          0.036          0.794            0.0         5217.6
     07/07/1988       1442.584          0.000          0.036          0.794            0.0         5217.6
     08/07/1988       1441.926          0.000          0.036          0.794            0.0         5217.6
     09/07/1988       1441.199          0.000          0.036          0.794            0.0         5217.6
     10/07/1988       1440.631          0.000          0.036          0.794            0.0         5217.6
     11/07/1988       1455.891          0.000          0.036          0.794            0.0         5217.6
     12/07/1988       1456.267          0.000          0.036          0.794            0.0         5217.6
     13/07/1988       1455.632          0.000          0.036          0.794            0.0         5217.6
     14/07/1988       1454.964          0.000          0.036          0.794            0.0         5217.6
     15/07/1988       1454.267          0.000          0.036          0.794            0.0         5217.6
     16/07/1988       1453.604          0.000          0.036          0.794            0.0         5217.6
     17/07/1988       1452.878          0.000          0.036          0.794            0.0         5217.6
     18/07/1988       1452.145          0.000          0.036          0.794            0.0         5217.6
     19/07/1988       1451.354          0.000          0.036          0.794            0.0         5217.6
     20/07/1988       1450.639          0.000          0.036          0.794            0.0         5217.6
     21/07/1988       1450.022          0.000          0.036          0.794            0.0         5217.6
     22/07/1988       1458.047          0.000          0.036          0.794            0.0         5217.6
     23/07/1988       1457.360          0.000          0.036          0.794            0.0         5217.6
     24/07/1988       1456.667          0.000          0.036          0.794            0.0         5217.6
     25/07/1988       1455.885          0.000          0.036          0.794            0.0         5217.6
     26/07/1988       1454.994          0.000          0.036          0.794            0.0         5217.6
     27/07/1988       1454.279          0.000          0.036          0.794            0.0         5217.6
     28/07/1988       1453.481          0.000          0.036          0.794            0.0         5217.6
     29/07/1988       1452.797          0.000          0.036          0.794            0.0         5217.6
     30/07/1988       1452.229          0.000          0.036          0.794            0.0         5217.6
     31/07/1988       1451.399          0.000          0.036          0.794            0.0         5217.6
     01/08/1988       1450.596          0.000          0.036          0.794            0.0         5217.6
     02/08/1988       1449.840          0.000          0.036          0.794            0.0         5217.6
     03/08/1988       1448.946          0.000          0.036          0.794            0.0         5217.6
     04/08/1988       1448.086          0.000          0.036          0.794            0.0         5217.6
     05/08/1988       1447.264          0.000          0.036          0.794            0.0         5217.6
     06/08/1988       1446.572          0.000          0.036          0.794            0.0         5217.6
     07/08/1988       1445.877          0.000          0.036          0.794            0.0         5217.6
     08/08/1988       1445.182          0.000          0.036          0.794            0.0         5217.6
     09/08/1988       1444.426          0.000          0.036          0.794            0.0         5217.6
     10/08/1988       1443.603          0.000          0.036          0.794            0.0         5217.6
     11/08/1988       1442.715          0.000          0.036          0.794            0.0         5217.6
     12/08/1988       1441.871          0.000          0.036          0.794            0.0         5217.6
     13/08/1988       1441.013          0.000          0.036          0.794            0.0         5217.6
     14/08/1988       1440.150          0.000          0.036          0.794            0.0         5217.6
     15/08/1988       1439.299          0.000          0.036          0.794            0.0         5217.6
     16/08/1988       1438.349          0.000          0.036          0.794            0.0         5217.6
     17/08/1988       1437.670          0.000          0.036          0.794            0.0         5217.6
     18/08/1988       1437.263          0.000          0.036          0.794            0.0         5217.6
     19/08/1988       1436.867          0.000          0.036          0.794            0.0         5217.6
     20/08/1988       1436.480          0.000          0.036          0.794            0.0         5217.6
     21/08/1988       1436.103          0.000          0.036          0.794            0.0         5217.6
     22/08/1988       1435.734          0.000          0.036          0.794            0.0         5217.6
     23/08/1988       1469.607          0.000          0.036          0.794            0.0         5217.6
     24/08/1988       1470.136          0.000          0.036          0.794            0.0         5217.6
     25/08/1988       1469.276          0.000          0.036          0.794            0.0         5217.6
     26/08/1988       1468.409          0.000          0.036          0.794            0.0         5217.6
     27/08/1988       1467.791          0.000          0.036          0.794            0.0         5217.6
     28/08/1988       1473.493          0.000          0.036          0.794            0.0         5217.6
     29/08/1988       1472.560          0.000          0.036          0.794            0.0         5217.6
     30/08/1988       1471.595          0.000          0.036          0.794            0.0         5217.6
     31/08/1988       1471.056          0.000          0.036          0.794            0.0         5217.6
     01/09/1988       1471.541          0.000          0.036          0.794            0.0         5217.6
     02/09/1988       1470.693          0.000          0.036          0.794            0.0         5217.6
     03/09/1988       1469.613          0.000          0.036          0.794            0.0         5217.6
     04/09/1988       1469.895          0.000          0.036          0.794            0.0         5217.6
     05/09/1988       1469.920          0.000          0.036          0.794            0.0         5217.6
     06/09/1988       1469.169          0.000          0.036          0.794            0.0         5217.6
     07/09/1988       1476.517          0.000          0.036          0.794            0.0         5217.6
     08/09/1988       1475.429          0.000          0.036          0.794            0.0         5217.6
     09/09/1988       1474.460          0.000          0.036          0.794            0.0         5217.6
     10/09/1988       1473.477          0.000          0.036          0.794            0.0         5217.6
     11/09/1988       1472.457          0.000          0.036          0.794            0.0         5217.6
     12/09/1988       1485.737          0.000          0.036          0.794            0.0         5217.6
     13/09/1988       1497.626          0.000          0.036          0.794            0.0         5217.6
     14/09/1988       1497.275          0.000          0.036          0.794            0.0         5217.6
     15/09/1988       1509.708          0.000          0.036          0.794            0.0         5217.6
     16/09/1988       1509.894          0.000          0.036          0.794            0.0         5217.6
     17/09/1988       1508.506          0.000          0.036          0.794            0.0         5217.6
     18/09/1988       1507.137          0.000          0.036          0.794            0.0         5217.6
     19/09/1988       1505.958          0.000          0.036          0.794            0.0         5217.6
     20/09/1988       1504.892          0.000          0.036          0.794            0.0         5217.6
     21/09/1988       1503.678          0.000          0.036          0.794            0.0         5217.6
     22/09/1988       1502.422          0.000          0.036          0.794            0.0         5217.6
     23/09/1988       1501.154          0.000          0.036          0.794            0.0         5217.6
     24/09/1988       1499.876          0.000          0.036          0.794            0.0         5217.6
     25/09/1988       1498.537          0.000          0.036          0.794            0.0         5217.6
     26/09/1988       1497.233          0.000          0.036          0.794            0.0         5217.6
     27/09/1988       1496.238          0.000          0.036          0.794            0.0         5217.6
     28/09/1988       1501.386          0.000          0.036          0.794            0.0         5217.6
     29/09/1988       1499.890          0.000          0.036          0.794            0.0         5217.6
     30/09/1988       1498.120          0.000          0.036          0.794            0.0         5217.6
     01/10/1988       1496.702          0.000          0.036          0.794            0.0         5217.6
     02/10/1988       1495.479          0.000          0.036          0.794            0.0         5217.6
     03/10/1988       1494.485          0.000          0.036          0.794            0.0         5217.6
     04/10/1988       1493.435          0.000          0.036          0.794            0.0         5217.6
     05/10/1988       1492.333          0.000          0.036          0.794            0.0         5217.6
     06/10/1988       1491.192          0.000          0.036          0.794            0.0         5217.6
     07/10/1988       1490.028          0.000          0.036          0.794            0.0         5217.6
     08/10/1988       1488.858          0.000          0.036          0.794            0.0         5217.6
     09/10/1988       1487.697          0.000          0.036          0.794            0.0         5217.6
     10/10/1988       1486.561          0.000          0.036          0.794            0.0         5217.6
     11/10/1988       1485.460          0.000          0.036          0.794            0.0         5217.6
     12/10/1988       1484.405          0.000          0.036          0.794            0.0         5217.6
     13/10/1988       1483.402          0.000          0.036          0.794            0.0         5217.6
     14/10/1988       1482.455          0.000          0.036          0.794            0.0         5217.6
     15/10/1988       1481.566          0.000          0.036          0.794            0.0         5217.6
     16/10/1988       1480.734          0.000          0.036          0.794            0.0         5217.6
     17/10/1988       1479.959          0.000          0.036          0.794            0.0         5217.6
     18/10/1988       1479.238          0.000          0.036          0.794            0.0         5217.6
     19/10/1988       1478.568          0.000          0.036          0.794            0.0         5217.6
     20/10/1988       1477.945          0.000          0.036          0.794            0.0         5217.6
     21/10/1988       1477.366          0.000          0.036          0.794            0.0         5217.6
     22/10/1988       1476.826          0.000          0.036          0.794            0.0         5217.6
     23/10/1988       1476.321          0.000          0.036          0.794            0.0         5217.6
     24/10/1988       1477.400          0.000          0.036          0.794            0.0         5217.6
     25/10/1988       1476.314          0.000          0.036          0.794            0.0         5217.6
     26/10/1988       1475.627          0.000          0.036          0.794            0.0         5217.6
     27/10/1988       1475.218          0.000          0.036          0.794            0.0         5217.6
     28/10/1988       1474.829          0.000          0.036          0.794            0.0         5217.6
     29/10/1988       1474.458          0.000          0.036          0.794            0.0         5217.6
     30/10/1988       1474.101          0.000          0.036          0.794            0.0         5217.6
     31/10/1988       1473.757          0.000          0.036          0.794            0.0         5217.6
     01/11/1988       1473.426          0.000          0.036          0.794            0.0         5217.6
     02/11/1988       1473.104          0.000          0.036          0.794            0.0         5217.6
     03/11/1988       1472.792          0.000          0.036          0.794            0.0         5217.6
     04/11/1988       1472.487          0.000          0.036          0.794            0.0         5217.6
     05/11/1988       1472.190          0.000          0.036          0.794            0.0         5217.6
     06/11/1988       1472.189          0.000          0.036          0.794            0.0         5217.6
     07/11/1988       1474.947          0.000          0.036          0.794            0.0         5217.6
     08/11/1988       1473.420          0.000          0.036          0.794            0.0         5217.6
     09/11/1988       1471.877          0.000          0.036          0.794            0.0         5217.6
     10/11/1988       1471.596          0.000          0.036          0.794            0.0         5217.6
     11/11/1988       1471.320          0.000          0.036          0.794            0.0         5217.6
     12/11/1988       1471.047          0.000          0.036          0.794            0.0         5217.6
     13/11/1988       1470.778          0.000          0.036          0.794            0.0         5217.6
     14/11/1988       1470.513          0.000          0.036          0.794            0.0         5217.6
     15/11/1988       1470.251          0.000          0.036          0.794            0.0         5217.6
     16/11/1988       1486.149          0.000          0.036          0.794            0.0         5217.6
     17/11/1988       1484.625          0.000          0.036          0.794            0.0         5217.6
     18/11/1988       1482.886          0.000          0.036          0.794            0.0         5217.6
     19/11/1988       1480.960          0.000          0.036          0.794            0.0         5217.6
     20/11/1988       1480.494          0.000          0.036          0.794            0.0         5217.6
     21/11/1988       1480.044          0.000          0.036          0.794            0.0         5217.6
     22/11/1988       1480.624          0.000          0.036          0.794            0.0         5217.6
     23/11/1988       1479.607          0.000          0.036          0.794            0.0         5217.6
     24/11/1988       1479.184          0.000          0.036          0.794            0.0         5217.6
     25/11/1988       1478.773          0.000          0.036          0.794            0.0         5217.6
     26/11/1988       1478.373          0.000          0.036          0.794            0.0         5217.6
     27/11/1988       1478.480          0.000          0.036          0.794            0.0         5217.6
     28/11/1988       1477.983          0.000          0.036          0.794            0.0         5217.6
     29/11/1988       1477.602          0.000          0.036          0.794            0.0         5217.6
     30/11/1988       1477.230          0.000          0.036          0.794            0.0         5217.6
     01/12/1988       1476.866          0.000          0.036          0.794            0.0         5217.6
     02/12/1988       1476.509          0.000          0.036          0.794            0.0         5217.6
     03/12/1988       1478.907          0.000          0.036          0.794            0.0         5217.6
     04/12/1988       1477.079          0.000          0.036          0.794            0.0         5217.6
     05/12/1988       1476.160          0.000          0.036          0.794            0.0         5217.6
     06/12/1988       1475.818          0.000          0.036          0.794            0.0         5217.6
     07/12/1988       1475.482          0.000          0.036          0.794            0.0         5217.6
     08/12/1988       1479.242          0.000          0.036          0.794            0.0         5217.6
     09/12/1988       1482.121          0.000          0.036          0.794            0.0         5217.6
     10/12/1988       1516.477          0.000          0.036          0.794            0.0         5217.6
     11/12/1988       1514.640          0.000          0.036          0.794            0.0         5217.6
     12/12/1988       1532.124          0.000          0.036          0.794            0.0         5217.6
     13/12/1988       1530.541          0.000          0.036          0.794            0.0         5217.6
     14/12/1988       1528.905          0.000          0.036          0.794            0.0         5217.6
     15/12/1988       1527.313          0.000          0.036          0.794            0.0         5217.6
     16/12/1988       1526.063          0.000          0.036          0.794            0.0         5217.6
     17/12/1988       1529.964          0.000          0.036          0.794            0.0         5217.6
     18/12/1988       1545.874          0.000          0.036          0.794            0.0         5217.6
     19/12/1988       1548.790          0.000          0.036          0.794            0.0         5217.6
     20/12/1988       1546.442          0.000          0.036          0.794            0.0         5217.6
     21/12/1988       1543.728          0.000          0.036          0.794            0.0         5217.6
     22/12/1988       1541.404          0.000          0.036          0.794            0.0         5217.6
     23/12/1988       1538.529          0.000          0.036          0.794            0.0         5217.6
     24/12/1988       1535.495          0.000          0.036          0.794            0.0         5217.6
     25/12/1988       1532.217          0.000          0.036          0.794            0.0         5217.6
     26/12/1988       1529.155          0.000          0.036          0.794            0.0         5217.6
     27/12/1988       1537.980          0.000          0.036          0.794            0.0         5217.6
     28/12/1988       1534.195          0.000          0.036          0.794            0.0         5217.6
     29/12/1988       1530.412          0.000          0.036          0.794            0.0         5217.6
     30/12/1988       1526.699          0.000          0.036          0.794            0.0         5217.6
     31/12/1988       1522.978          0.000          0.036          0.794            0.0         5217.6
