ApsimVersion = 7.4
Title = Effluent-irrigated Eucalypt Forest Block
           Date            esw            lai   adm_green(1)   adm_green(2)   adm_green(3)             fw             fn         plants          no3()          nh4()           cl()          drain    no3_leached     irrigation irrigation_no3
   (dd/mm/yyyy)           (mm)        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)          (0-1)          (0-1)          (/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)           (mm)        (kg/ha)
     12/03/1980        156.599          0.000            0.0            0.0            0.0          0.000          0.000          0.000           42.5            1.5          650.0          0.000            0.0          0.000            0.0
     13/03/1980        154.810          0.000            0.0            0.0            0.0          0.000          0.000          0.000           42.6            1.5          650.0          0.000            0.0          0.000            0.0
     14/03/1980        153.570          0.000            0.0            0.0            0.0          0.000          0.000          0.000           42.7            1.5          650.0          0.000            0.0          0.000            0.0
     15/03/1980        152.482          0.052            0.5            0.2            0.1          1.000          1.000       1111.000           57.2           50.0          650.0          0.000            0.0          0.000            0.0
     16/03/1980        151.519          0.053            1.0            0.3            0.2          1.000          0.979       1111.000           76.3           68.5          650.0          0.000            0.0          0.000            0.0
     17/03/1980        150.660          0.055            1.5            0.5            0.2          1.000          0.981       1111.000           98.1           69.2          650.0          0.000            0.0          0.000            0.0
     18/03/1980        149.872          0.057            2.0            0.7            0.3          1.000          0.982       1111.000          119.8           60.3          650.0          0.000            0.0          0.000            0.0
     19/03/1980        149.128          0.058            2.6            0.9            0.4          1.000          0.981       1111.000          139.7           47.6          650.0          0.000            0.0          0.000            0.0
     20/03/1980        148.424          0.060            3.0            1.0            0.5          1.000          0.982       1111.000          156.9           34.5          650.0          0.000            0.0          0.000            0.0
     21/03/1980        147.761          0.062            3.6            1.2            0.5          1.000          0.984       1111.000          169.9           23.7          650.0          0.000            0.0          0.000            0.0
     22/03/1980        147.126          0.063            4.1            1.4            0.6          1.000          0.983       1111.000          179.1           15.8          650.0          0.000            0.0          0.000            0.0
     23/03/1980        146.518          0.065            4.6            1.6            0.7          1.000          0.983       1111.000          185.4           10.3          650.0          0.000            0.0          0.000            0.0
     24/03/1980        145.919          0.067            5.2            1.8            0.8          1.000          0.984       1111.000          189.5            6.8          650.0          0.000            0.0          0.000            0.0
     25/03/1980        145.336          0.069            5.7            1.9            0.9          1.000          0.984       1111.000          192.1            4.6          650.0          0.000            0.0          0.000            0.0
     26/03/1980        144.785          0.070            6.2            2.1            0.9          1.000          0.985       1111.000          193.8            3.2          650.0          0.000            0.0          0.000            0.0
     27/03/1980        144.218          0.072            6.7            2.3            1.0          1.000          0.986       1111.000          194.9            2.5          650.0          0.000            0.0          0.000            0.0
     28/03/1980        143.689          0.074            7.4            2.5            1.1          1.000          0.985       1111.000          195.6            2.0          650.0          0.000            0.0          0.000            0.0
     29/03/1980        143.158          0.076            8.1            2.8            1.2          1.000          0.983       1111.000          196.2            1.7          650.0          0.000            0.0          0.000            0.0
     30/03/1980        142.633          0.079            8.9            3.0            1.4          1.000          0.981       1111.000          196.6            1.6          650.0          0.000            0.0          0.000            0.0
     31/03/1980        142.112          0.081            9.7            3.3            1.5          1.000          0.981       1111.000          196.9            1.5          650.0          0.000            0.0          0.000            0.0
     01/04/1980        141.608          0.084           10.5            3.6            1.6          1.000          0.982       1111.000          197.1            1.5          650.0          0.000            0.0          0.000            0.0
     02/04/1980        141.097          0.086           11.3            3.8            1.7          1.000          0.982       1111.000          197.3            1.5          650.0          0.000            0.0          0.000            0.0
     03/04/1980        140.603          0.089           12.1            4.1            1.8          1.000          0.983       1111.000          197.5            1.4          650.0          0.000            0.0          0.000            0.0
     04/04/1980        140.090          0.091           12.9            4.4            2.0          1.000          0.982       1111.000          197.8            1.4          650.0          0.000            0.0          0.000            0.0
     05/04/1980        139.598          0.094           13.8            4.7            2.1          1.000          0.983       1111.000          198.0            1.4          650.0          0.000            0.0          0.000            0.0
     06/04/1980        139.094          0.097           14.7            5.0            2.2          1.000          0.982       1111.000          198.2            1.4          650.0          0.000            0.0          0.000            0.0
     07/04/1980        138.612          0.099           15.7            5.3            2.4          1.000          0.983       1111.000          198.4            1.4          650.0          0.000            0.0          0.000            0.0
     08/04/1980        138.164          0.102           16.6            5.6            2.5          1.000          0.982       1111.000          198.6            1.4          650.0          0.000            0.0          0.000            0.0
     09/04/1980        137.708          0.105           17.6            6.0            2.7          1.000          0.983       1111.000          198.7            1.3          650.0          0.000            0.0          0.000            0.0
     10/04/1980        137.260          0.109           18.7            6.3            2.8          1.000          0.982       1111.000          198.8            1.3          650.0          0.000            0.0          0.000            0.0
     11/04/1980        136.816          0.112           19.7            6.7            3.0          1.000          0.983       1111.000          199.0            1.3          650.0          0.000            0.0          0.000            0.0
     12/04/1980        136.371          0.115           20.8            7.0            3.2          1.000          0.983       1111.000          199.1            1.3          650.0          0.000            0.0          0.000            0.0
     13/04/1980        135.919          0.118           21.9            7.4            3.3          1.000          0.983       1111.000          199.2            1.3          650.0          0.000            0.0          0.000            0.0
     14/04/1980        135.466          0.121           23.0            7.8            3.5          1.000          0.983       1111.000          199.3            1.3          650.0          0.000            0.0          0.000            0.0
     15/04/1980        135.035          0.125           24.1            8.2            3.7          1.000          0.983       1111.000          199.4            1.3          650.0          0.000            0.0          0.000            0.0
