ApsimVersion = 7.0
Title = Potato
           Date        biomass            lai    LeafGreenWt    StemGreenWt   TuberGreenWt          st(1)         plants        node_no     node_no_fx     LeafGreenN
             ()        (kg/ha)      (m^2/m^2)        (g/m^2)        (g/m^2)        (g/m^2)           (oC)   (plants/m^2)       (/plant)       (/plant)        (g/m^2)
     03/04/1988            0.0          0.000           0.00           0.00           0.00         23.533          0.000          0.000          0.000           0.00
     04/04/1988            0.0          0.000           0.00           0.00           0.00         23.364          0.000          0.000          0.000           0.00
     05/04/1988            0.0          0.000           0.00           0.00           0.00         24.099          0.000          0.000          0.000           0.00
     06/04/1988            0.0          0.000           0.00           0.00           0.00         24.382          0.000          0.000          0.000           0.00
     07/04/1988            0.0          0.000           0.00           0.00           0.00         24.518          0.000          0.000          0.000           0.00
     08/04/1988            0.0          0.000           0.00           0.00           0.00         25.217          0.000          0.000          0.000           0.00
     09/04/1988            0.0          0.000           0.00           0.00           0.00         24.814          0.000          0.000          0.000           0.00
     10/04/1988            0.0          0.000           0.00           0.00           0.00         23.782          0.000          0.000          0.000           0.00
     11/04/1988            0.0          0.000           0.00           0.00           0.00         22.775          0.000          0.000          0.000           0.00
     12/04/1988            0.0          0.000           0.00           0.00           0.00         22.497          0.000          0.000          0.000           0.00
     13/04/1988            0.0          0.000           0.00           0.00           0.00         22.393          0.000          0.000          0.000           0.00
     14/04/1988            0.0          0.000           0.00           0.00           0.00         22.952          0.000          0.000          0.000           0.00
     15/04/1988            0.0          0.000           0.00           0.00           0.00         23.794          0.000          0.000          0.000           0.00
     16/04/1988            0.0          0.000           0.00           0.00           0.00         25.066          0.000          0.000          0.000           0.00
     17/04/1988            0.0          0.000           0.00           0.00           0.00         25.200          0.000          0.000          0.000           0.00
     18/04/1988            0.0          0.000           0.00           0.00           0.00         24.825          0.000          0.000          0.000           0.00
     19/04/1988            0.0          0.000           0.00           0.00           0.00         24.419          0.000          0.000          0.000           0.00
     20/04/1988            0.0          0.000           0.00           0.00           0.00         23.938          0.000          0.000          0.000           0.00
     21/04/1988            0.0          0.000           0.00           0.00           0.00         23.701          0.000          0.000          0.000           0.00
     22/04/1988            0.0          0.000           0.00           0.00           0.00         23.845          0.000          0.000          0.000           0.00
     23/04/1988            0.0          0.000           0.00           0.00           0.00         24.234          0.000          0.000          0.000           0.00
     24/04/1988            0.0          0.000           0.00           0.00           0.00         24.414          0.000          0.000          0.000           0.00
     25/04/1988            0.0          0.000           0.00           0.00           0.00         24.870          0.000          0.000          0.000           0.00
     26/04/1988            0.0          0.000           0.00           0.00           0.00         25.000          0.000          0.000          0.000           0.00
     27/04/1988            0.0          0.000           0.00           0.00           0.00         24.810          0.000          0.000          0.000           0.00
     28/04/1988            0.0          0.000           0.00           0.00           0.00         23.292          0.000          0.000          0.000           0.00
     29/04/1988            0.0          0.000           0.00           0.00           0.00         22.281          0.000          0.000          0.000           0.00
     30/04/1988            0.0          0.000           0.00           0.00           0.00         21.424          0.000          0.000          0.000           0.00
     01/05/1988            0.0          0.000           0.00           0.00           0.00         21.385          0.000          0.000          0.000           0.00
     02/05/1988            0.0          0.000           0.00           0.00           0.00         21.578          0.000          0.000          0.000           0.00
     03/05/1988            0.0          0.000           0.00           0.00           0.00         23.094          0.000          0.000          0.000           0.00
     04/05/1988            0.0          0.000           0.00           0.00           0.00         24.134          0.000          0.000          0.000           0.00
     05/05/1988            0.0          0.000           0.00           0.00           0.00         24.895          0.000          0.000          0.000           0.00
     06/05/1988            0.0          0.000           0.00           0.00           0.00         24.704          0.000          0.000          0.000           0.00
     07/05/1988            0.0          0.000           0.00           0.00           0.00         24.379          0.000          0.000          0.000           0.00
     08/05/1988            0.0          0.000           0.00           0.00           0.00         23.630          0.000          0.000          0.000           0.00
     09/05/1988            0.0          0.000           0.00           0.00           0.00         22.885          0.000          0.000          0.000           0.00
     10/05/1988            0.0          0.000           0.00           0.00           0.00         22.068          0.000          0.000          0.000           0.00
     11/05/1988            0.0          0.000           0.00           0.00           0.00         21.047          0.000          0.000          0.000           0.00
     12/05/1988            0.0          0.000           0.00           0.00           0.00         20.466          0.000          0.000          0.000           0.00
     13/05/1988            0.0          0.000           0.00           0.00           0.00         20.563          0.000          0.000          0.000           0.00
     14/05/1988            0.0          0.000           0.00           0.00           0.00         20.700          0.000          0.000          0.000           0.00
     15/05/1988            0.0          0.000           0.00           0.00           0.00         20.986          0.000          0.000          0.000           0.00
     16/05/1988            0.0          0.000           0.00           0.00           0.00         21.757          0.000          0.000          0.000           0.00
     17/05/1988            0.0          0.000           0.00           0.00           0.00         21.460          0.000          0.000          0.000           0.00
     18/05/1988            0.0          0.000           0.00           0.00           0.00         21.257          0.000          0.000          0.000           0.00
     19/05/1988            0.0          0.000           0.00           0.00           0.00         20.852          0.000          0.000          0.000           0.00
     20/05/1988            0.0          0.000           0.00           0.00           0.00         20.481          0.000          0.000          0.000           0.00
     21/05/1988            0.0          0.000           0.00           0.00           0.00         19.297          0.000          0.000          0.000           0.00
     22/05/1988            0.0          0.000           0.00           0.00           0.00         18.867          5.000          0.000          0.000           0.00
     23/05/1988            0.0          0.000           0.00           0.00           0.00         18.266          5.000          0.000          0.000           0.00
     24/05/1988            0.0          0.000           0.00           0.00           0.00         17.892          5.000          0.000          0.000           0.00
     25/05/1988            0.0          0.000           0.00           0.00           0.00         17.370          5.000          0.000          0.000           0.00
     26/05/1988            0.0          0.000           0.00           0.00           0.00         17.820          5.000          0.000          0.000           0.00
     27/05/1988            0.0          0.000           0.00           0.00           0.00         18.323          5.000          0.000          0.000           0.00
     28/05/1988            0.0          0.000           0.00           0.00           0.00         18.250          5.000          0.000          0.000           0.00
     29/05/1988            0.0          0.000           0.00           0.00           0.00         17.907          5.000          0.000          0.000           0.00
     30/05/1988            0.0          0.000           0.00           0.00           0.00         18.146          5.000          0.000          0.000           0.00
     31/05/1988            0.0          0.000           0.00           0.00           0.00         18.363          5.000          0.000          0.000           0.00
     01/06/1988            0.0          0.000           0.00           0.00           0.00         18.392          5.000          0.000          0.000           0.00
     02/06/1988            0.0          0.000           0.00           0.00           0.00         18.920          5.000          0.000          0.000           0.00
     03/06/1988            0.0          0.000           0.00           0.00           0.00         19.852          5.000          0.000          0.000           0.00
     04/06/1988            0.0          0.000           0.00           0.00           0.00         19.937          5.000          0.000          0.000           0.00
     05/06/1988            0.0          0.000           0.00           0.00           0.00         20.243          5.000          0.000          0.000           0.00
