ApsimVersion = 7.10
Title = Maize P
           Date            esw            day           year          yield         stover        biomass            lai    pfact_photo    nfact_photo    swdef_photo
   (dd/mm/yyyy)           (mm)          (day)         (year)        (kg/ha)        (kg/ha)        (kg/ha)        (m2/m2)             ()             ()             ()
     04/02/1989         12.613             35           1989            0.0         2514.0         2514.0          1.324          1.000          0.951          1.000
     05/02/1989         15.624             36           1989            0.0         2559.4         2559.4          1.375          1.000          0.949          1.000
     06/02/1989         34.179             37           1989            0.0         2678.0         2678.0          1.456          1.000          0.945          1.000
     07/02/1989         30.893             38           1989            0.0         2823.5         2823.5          1.546          1.000          0.942          1.000
     08/02/1989         26.726             39           1989            0.0         2934.9         2934.9          1.562          1.000          0.942          0.597
     09/02/1989         22.664             40           1989            0.0         3002.4         3002.4          1.562          1.000          0.943          0.335
     10/02/1989         18.933             41           1989            0.0         3047.9         3047.9          1.562          1.000          0.944          0.214
     11/02/1989         19.041             42           1989            0.0         3119.4         3119.4          1.506          1.000          0.947          0.444
     12/02/1989         17.017             43           1989            0.0         3192.9         3192.9          1.506          1.000          0.947          0.477
     13/02/1989         13.726             44           1989            0.0         3235.4         3235.4          1.506          1.000          0.948          0.211
     14/02/1989         11.733             45           1989            0.0         3267.6         3267.6          1.439          1.000          0.950          0.156
     15/02/1989         10.273             46           1989            0.0         3295.0         3295.0          1.368          1.000          0.953          0.137
     16/02/1989          9.518             47           1989            0.0         3320.1         3320.1          1.291          1.000          0.955          0.130
     17/02/1989          8.822             48           1989            0.0         3348.1         3348.1          1.196          1.000          0.959          0.159
     18/02/1989          8.180             49           1989            0.0         3372.9         3372.9          1.104          1.000          0.962          0.151
     19/02/1989          7.589             50           1989            0.0         3393.2         3393.2          1.018          1.000          0.965          0.127
     20/02/1989          7.044             51           1989            0.0         3410.3         3410.3          0.940          1.000          0.968          0.112
     21/02/1989         97.100             52           1989            0.0         3520.9         3520.9          1.008          1.000          0.964          1.000
     22/02/1989         92.839             53           1989            0.0         3652.9         3652.9          1.093          1.000          0.960          1.000
     23/02/1989         89.103             54           1989            0.0         3784.1         3784.1          1.174          1.000          0.956          1.000
     24/02/1989         86.295             55           1989            0.0         3897.1         3897.1          1.239          1.000          0.953          1.000
     25/02/1989         82.032             56           1989            0.0         4051.0         4051.0          1.315          1.000          0.949          1.000
     26/02/1989         77.851             57           1989            0.0         4211.8         4211.8          1.392          1.000          0.946          1.000
     27/02/1989         73.359             58           1989            0.0         4376.2         4376.2          1.465          1.000          0.943          1.000
     28/02/1989         71.200             59           1989            0.0         4501.5         4501.5          1.525          1.000          0.941          1.000
     01/03/1989         68.158             60           1989            0.0         4648.8         4648.8          1.525          1.000          0.941          1.000
     02/03/1989         64.684             61           1989            0.0         4813.9         4813.9          1.525          1.000          0.941          1.000
     03/03/1989         62.611             62           1989            0.0         4942.4         4942.4          1.525          1.000          0.941          1.000
     04/03/1989         60.063             63           1989            0.0         5083.5         5083.5          1.525          1.000          0.941          1.000
     05/03/1989         59.505             64           1989            0.0         5215.7         5215.7          1.525          1.000          0.941          1.000
     06/03/1989         54.126             65           1989            0.0         5392.8         5392.8          1.525          1.000          0.941          1.000
     07/03/1989         50.220             66           1989            0.0         5560.5         5560.5          1.525          1.000          0.941          0.948
     08/03/1989         46.622             67           1989            0.0         5716.4         5716.4          1.525          1.000          0.941          0.918
     09/03/1989         43.305             68           1989            0.0         5855.1         5855.1          1.525          1.000          0.941          0.781
