ApsimVersion = 7.4
Title = TemperateGrassEstablished daily
           Date           year            day      phenology         growth        leaf_dm        stem_dm      litter_dm          rtdep         urea()      cover_tot   uptake_nh4()          nh4()   uptake_no3()          no3()      nit_tot()       glf_nitr         glf_sm        glf_tmp        glf_vpd     removed_dm       avail_dm
   (dd/mm/yyyy)         (year)          (day)            (-)      (kg/ha/d)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)      (m^2/m^2)      (kg/ha/d)        (kg/ha)      (kg/ha/d)        (kg/ha)        (kg/ha)            (-)            (-)            (-)            (-)             ()        (kg/ha)
     02/03/1954           1954             61          1.130         39.700         1012.0          315.2          585.6        442.264            0.0          0.540          0.346            9.8          0.305           62.9         7919.1          0.808          1.000          1.000          0.942         40.023          418.6
     03/03/1954           1954             62          1.132         43.351         1029.9          325.6          575.1        453.441            0.0          0.560          0.397            9.8          0.347           62.6         7918.5          0.865          1.000          1.000          0.901         40.023          455.0
     04/03/1954           1954             63          1.134         50.218         1050.4          337.2          564.8        464.731            0.0          0.580          0.493            9.8          0.433           62.3         7917.8          0.936          1.000          1.000          0.862         40.023          495.2
     05/03/1954           1954             64          1.136         47.797         1075.9          350.9          554.1        475.662            0.0          0.600          0.548            9.6          0.479           61.8         7916.8          1.000          1.000          1.000          0.759         40.023          542.3
     06/03/1954           1954             65          1.138         52.384         1099.7          364.0          543.5        487.086            0.0          0.617          0.583            9.4          0.506           61.3         7915.8          1.000          1.000          1.000          0.837         40.023          587.3
     07/03/1954           1954             66          1.140         54.941         1126.9          378.5          533.2        499.249            0.0          0.636          0.623            9.1          0.542           60.8         7914.7          1.000          1.000          1.000          0.841         40.023          637.0
     08/03/1954           1954             67          1.142         44.996         1155.9          393.9          523.0        510.920            0.0          0.654          0.273            8.7          0.630           60.3         7913.6          1.000          1.000          1.000          0.679         40.023          689.3
     09/03/1954           1954             68          1.144         55.290         1178.0          406.4          513.0        521.739            0.0          0.668          0.302            8.7          0.650           59.7         7912.7          1.000          1.000          1.000          0.842         40.023          731.9
     10/03/1954           1954             69          1.146         54.744         1207.5          422.1          503.2        533.163            0.0          0.686          0.345            8.7          0.698           59.0         7911.7          1.000          1.000          1.000          0.818         40.023          784.9
     11/03/1954           1954             70          1.148         48.792         1236.6          437.7          493.6        544.475            0.0          0.702          0.382            8.6          0.731           58.3         7910.7          1.000          1.000          1.000          0.724         40.023          837.5
     12/03/1954           1954             71          1.150         47.499         1261.6          451.6          484.2        555.406            0.0          0.715          0.407            8.5          0.735           57.6         7909.5          1.000          1.000          1.000          0.719         40.023          884.2
     13/03/1954           1954             72          1.152         48.638         1285.9          465.2          474.9        566.830            0.0          0.727          0.421            8.3          0.724           56.8         7908.4          1.000          1.000          1.000          0.740         40.023          929.7
     14/03/1954           1954             73          1.154         58.463         1311.1          479.2          465.8        578.142            0.0          0.739          0.431            8.1          0.708           56.1         7907.3          1.000          1.000          1.000          0.904         40.023          976.4
     15/03/1954           1954             74          1.156          0.000         1343.1          496.4          456.9        589.835            0.0          0.755          0.380            7.8          0.309           55.4         7906.1          1.000          0.180          1.000          1.000         40.023         1033.0
