ApsimVersion = 7.10
Title = Wether in pasture crop rotation_WheatPaddock_DailyOutput.out
             Date          biomass    green_biomass animals_paddock[1] animals_paddock[2] animals_paddock[3]        cover_tot  surfaceom_cover
     (dd/MM/yyyy)          (kg/ha)          (kg/ha)                 ()                 ()                 ()               ()        (m^2/m^2)
       24/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.14
       25/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.14
       26/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.14
       27/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.14
       28/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.14
       29/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.13
       30/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.13
       01/05/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.13
       02/05/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.13
       03/05/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.13
       04/05/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.13
       05/05/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.13
       06/05/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.13
       07/05/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.13
       08/05/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.13
       09/05/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.13
       10/05/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.13
       11/05/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.13
       12/05/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.13
       13/05/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.13
       14/05/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.13
       15/05/1990             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.13
       16/05/1990             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.13
       17/05/1990             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.13
       18/05/1990             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.13
       19/05/1990             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.13
       20/05/1990             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.13
       21/05/1990             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.13
       22/05/1990             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.13
       23/05/1990             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.06
       24/05/1990             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.06
       25/05/1990             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.06
       26/05/1990             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.06
       27/05/1990             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.06
       28/05/1990             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.06
       29/05/1990             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.06
       30/05/1990             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.06
       31/05/1990             4.60             4.60     pasturepaddock                  ?                  ?             0.01             0.06
       01/06/1990             5.59             5.59     pasturepaddock                  ?                  ?             0.01             0.06
       02/06/1990             6.39             6.39     pasturepaddock                  ?                  ?             0.01             0.06
       03/06/1990             7.33             7.33     pasturepaddock                  ?                  ?             0.01             0.06
       04/06/1990             8.84             8.84     pasturepaddock                  ?                  ?             0.01             0.06
       05/06/1990            10.59            10.59     pasturepaddock                  ?                  ?             0.01             0.06
       06/06/1990            12.78            12.78     pasturepaddock                  ?                  ?             0.02             0.06
       07/06/1990            15.23            15.23     pasturepaddock                  ?                  ?             0.02             0.06
       08/06/1990            17.75            17.75     pasturepaddock                  ?                  ?             0.02             0.06
       09/06/1990            20.79            20.79     pasturepaddock                  ?                  ?             0.02             0.06
       10/06/1990            23.33            23.33     pasturepaddock                  ?                  ?             0.02             0.06
       11/06/1990            26.72            26.72     pasturepaddock                  ?                  ?             0.03             0.06
       12/06/1990            28.11            28.11     pasturepaddock                  ?                  ?             0.03             0.06
       13/06/1990            29.18            29.18     pasturepaddock                  ?                  ?             0.03             0.06
       14/06/1990            30.48            30.48     pasturepaddock                  ?                  ?             0.03             0.06
       15/06/1990            32.34            32.34     pasturepaddock                  ?                  ?             0.03             0.06
       16/06/1990            33.87            33.87     pasturepaddock                  ?                  ?             0.03             0.06
       17/06/1990            35.92            35.92     pasturepaddock                  ?                  ?             0.03             0.06
       18/06/1990            38.64            38.64     pasturepaddock                  ?                  ?             0.04             0.06
       19/06/1990            41.48            41.48     pasturepaddock                  ?                  ?             0.04             0.06
       20/06/1990            43.05            43.05     pasturepaddock                  ?                  ?             0.04             0.06
       21/06/1990            45.16            45.16     pasturepaddock                  ?                  ?             0.04             0.06
       22/06/1990            46.26            46.26     pasturepaddock                  ?                  ?             0.04             0.06
       23/06/1990            47.73            47.73     pasturepaddock                  ?                  ?             0.04             0.06
       24/06/1990            50.09            50.09     pasturepaddock                  ?                  ?             0.05             0.06
       25/06/1990            51.34            51.34     pasturepaddock                  ?                  ?             0.05             0.06
       26/06/1990            53.34            53.34     pasturepaddock                  ?                  ?             0.05             0.06
       27/06/1990            55.07            55.07     pasturepaddock                  ?                  ?             0.05             0.06
       28/06/1990            57.04            57.04     pasturepaddock                  ?                  ?             0.05             0.06
       29/06/1990            60.54            60.54     pasturepaddock                  ?                  ?             0.05             0.06
       30/06/1990            64.02            64.02     pasturepaddock                  ?                  ?             0.06             0.06
       01/07/1990            65.56            65.56     pasturepaddock                  ?                  ?             0.06             0.06
       02/07/1990            67.26            67.26     pasturepaddock                  ?                  ?             0.06             0.05
       03/07/1990            70.26            70.26     pasturepaddock                  ?                  ?             0.06             0.05
       04/07/1990            73.25            73.25     pasturepaddock                  ?                  ?             0.06             0.05
       05/07/1990            76.36            76.36     pasturepaddock                  ?                  ?             0.07             0.05
       06/07/1990            80.40            80.40     pasturepaddock                  ?                  ?             0.07             0.05
       07/07/1990            83.73            83.73     pasturepaddock                  ?                  ?             0.07             0.05
       08/07/1990            87.26            87.15     pasturepaddock                  ?                  ?             0.07             0.05
       09/07/1990            89.84            89.63     pasturepaddock                  ?                  ?             0.08             0.05
       10/07/1990            95.74            95.45     pasturepaddock                  ?                  ?             0.08             0.05
       11/07/1990           104.28           103.90     pasturepaddock                  ?                  ?             0.09             0.05
