ApsimVersion = 7.6
Title = Wheat Lucerne Rotation
           Date       whtYield lucerneBiomass            alw  stocking_rate
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)           (kg)    (beasts/ha)
     01/07/1955            0.0         2921.7        213.570          0.400
     01/08/1955            0.0         2484.2        215.300          0.400
     01/09/1955            0.0         1655.1        217.276          0.400
     01/10/1955            0.0         1081.4        226.670          0.400
     01/11/1955            0.0         1406.9        236.436          0.400
     01/12/1955            0.0         1655.0        246.545          0.400
     01/01/1956            0.0         1603.8        269.825          0.400
     01/02/1956            0.0         2055.8        292.377          0.400
     01/03/1956            0.0         3182.4        313.138          0.400
     01/04/1956            0.0         3492.3        323.991          0.400
     01/05/1956            0.0         3761.5        334.365          0.400
     01/06/1956            0.0         3919.3        344.681          0.400
     01/07/1956            0.0         4086.6        346.847          0.400
     01/08/1956            0.0         4327.1        349.005          0.400
