ApsimVersion = 7.9
Title = Vensim
           Date            st1            sw1      daily_htt        sum_htt
   (dd/mm/yyyy)             ()             ()             ()             ()
     30/08/1988          0.000          0.000         20.000       4860.000
     31/08/1988          0.000          0.000         20.000       4880.000
     01/09/1988          0.000          0.000         20.000       4900.000
     02/09/1988          0.000          0.000         20.000       4920.000
     03/09/1988          0.000          0.000         20.000       4940.000
     04/09/1988          0.000          0.000         20.000       4960.000
     05/09/1988          0.000          0.000         20.000       4980.000
     06/09/1988          0.000          0.000         20.000       5000.000
     07/09/1988          0.000          0.000         20.000       5020.000
     08/09/1988          0.000          0.000         20.000       5040.000
     09/09/1988          0.000          0.000         20.000       5060.000
     10/09/1988          0.000          0.000         20.000       5080.000
     11/09/1988          0.000          0.000         20.000       5100.000
     12/09/1988          0.000          0.000         20.000       5120.000
     13/09/1988          0.000          0.000         20.000       5140.000
     14/09/1988          0.000          0.000         20.000       5160.000
     15/09/1988          0.000          0.000         20.000       5180.000
     16/09/1988          0.000          0.000         20.000       5200.000
     17/09/1988          0.000          0.000         20.000       5220.000
     18/09/1988          0.000          0.000         20.000       5240.000
     19/09/1988          0.000          0.000         20.000       5260.000
     20/09/1988          0.000          0.000         20.000       5280.000
     21/09/1988          0.000          0.000         20.000       5300.000
     22/09/1988          0.000          0.000         20.000       5320.000
     23/09/1988          0.000          0.000         20.000       5340.000
     24/09/1988          0.000          0.000         20.000       5360.000
     25/09/1988          0.000          0.000         20.000       5380.000
     26/09/1988          0.000          0.000         20.000       5400.000
     27/09/1988          0.000          0.000         20.000       5420.000
     28/09/1988          0.000          0.000         20.000       5440.000
     29/09/1988          0.000          0.000         20.000       5460.000
     30/09/1988          0.000          0.000         20.000       5480.000
     01/10/1988          0.000          0.000         20.000       5500.000
     02/10/1988          0.000          0.000         20.000       5520.000
     03/10/1988          0.000          0.000         20.000       5540.000
     04/10/1988          0.000          0.000         20.000       5560.000
     05/10/1988          0.000          0.000         20.000       5580.000
     06/10/1988          0.000          0.000         20.000       5600.000
     07/10/1988          0.000          0.000         20.000       5620.000
     08/10/1988          0.000          0.000         20.000       5640.000
     09/10/1988          0.000          0.000         20.000       5660.000
     10/10/1988          0.000          0.000         20.000       5680.000
     11/10/1988          0.000          0.000         20.000       5700.000
     12/10/1988          0.000          0.000         20.000       5720.000
     13/10/1988          0.000          0.000         20.000       5740.000
     14/10/1988          0.000          0.000         20.000       5760.000
     15/10/1988          0.000          0.000         20.000       5780.000
     16/10/1988          0.000          0.000         20.000       5800.000
     17/10/1988          0.000          0.000         20.000       5820.000
     18/10/1988          0.000          0.000         20.000       5840.000
     19/10/1988          0.000          0.000         20.000       5860.000
     20/10/1988          0.000          0.000         20.000       5880.000
     21/10/1988          0.000          0.000         20.000       5900.000
     22/10/1988          0.000          0.000         20.000       5920.000
     23/10/1988          0.000          0.000         20.000       5940.000
     24/10/1988          0.000          0.000         20.000       5960.000
     25/10/1988          0.000          0.000         20.000       5980.000
     26/10/1988          0.000          0.000         20.000       6000.000
     27/10/1988          0.000          0.000         20.000       6020.000
     28/10/1988          0.000          0.000         20.000       6040.000
     29/10/1988          0.000          0.000         20.000       6060.000
     30/10/1988          0.000          0.000         20.000       6080.000
     31/10/1988          0.000          0.000         20.000       6100.000
     01/11/1988          0.000          0.000         20.000       6120.000
     02/11/1988          0.000          0.000         20.000       6140.000
