Title = 25 intercrop 75 maize
10/12/1994 SR paddock1 maize 4354 9956
02/01/1995 SR paddock2 maize 0 1385
20/06/1995 LR paddock1 bean 1886 6683
20/06/1995 LR paddock1 maize 3386 6458
07/07/1995 LR paddock2 maize 0 1874
15/12/1995 SR paddock1 maize 4241 9374
04/01/1996 SR paddock2 maize 0 1836
01/07/1996 LR paddock1 bean 4313 11883
01/07/1996 LR paddock1 maize 766 4193
15/07/1996 LR paddock2 maize 0 2175
08/12/1996 SR paddock1 maize 4217 8988
31/12/1996 SR paddock2 maize 0 1225
06/07/1997 LR paddock1 bean 2448 7073
06/07/1997 LR paddock1 maize 4083 7864
13/07/1997 LR paddock2 maize 0 2994
19/01/1998 SR paddock1 maize 4075 8756
06/02/1998 SR paddock2 maize 0 1431
06/07/1998 LR paddock1 bean 3637 11062
06/07/1998 LR paddock1 maize 0 2952
19/07/1998 LR paddock2 maize 0 1573
11/12/1998 SR paddock1 maize 2953 6109
30/12/1998 SR paddock2 maize 0 1614
24/06/1999 LR paddock1 bean 2627 7821
24/06/1999 LR paddock1 maize 3242 6511
11/07/1999 LR paddock2 maize 0 2035
12/12/1999 SR paddock1 maize 4072 8456
04/01/2000 SR paddock2 maize 0 1267
23/06/2000 LR paddock1 bean 694 2694
23/06/2000 LR paddock1 maize 4000 7883
03/07/2000 LR paddock2 maize 0 3108
09/12/2000 SR paddock1 maize 1606 4948
01/01/2001 SR paddock2 maize 0 993
25/06/2001 LR paddock1 bean 4317 12292
25/06/2001 LR paddock1 maize 1 3523
09/07/2001 LR paddock2 maize 0 1696
10/12/2001 SR paddock1 maize 1631 4865
29/12/2001 SR paddock2 maize 0 1281
19/06/2002 LR paddock1 bean 1811 6179
19/06/2002 LR paddock1 maize 3271 6381
02/07/2002 LR paddock2 maize 0 2134
08/12/2002 SR paddock1 maize 4185 8303
30/12/2002 SR paddock2 maize 0 1282
02/07/2003 LR paddock1 bean 750 2494
02/07/2003 LR paddock1 maize 3773 7050
12/07/2003 LR paddock2 maize 0 2453
16/12/2003 SR paddock1 maize 0 3015
03/01/2004 SR paddock2 maize 0 786
24/06/2004 LR paddock2 maize 0 2737
25/06/2004 LR paddock1 bean 3329 9930
25/06/2004 LR paddock1 maize 0 2114
10/12/2004 SR paddock1 maize 2742 5631
01/01/2005 SR paddock2 maize 0 940
25/06/2005 LR paddock1 bean 753 2788
25/06/2005 LR paddock1 maize 3895 7251
07/07/2005 LR paddock2 maize 0 2240
15/12/2005 SR paddock1 maize 0 2720
29/12/2005 SR paddock2 maize 0 695
08/07/2006 LR paddock1 bean 5811 12808
08/07/2006 LR paddock1 maize 0 1798
09/07/2006 LR paddock2 maize 0 2223
08/12/2006 SR paddock1 maize 3553 6868
04/01/2007 SR paddock2 maize 0 921
21/06/2007 LR paddock1 bean 739 3117
21/06/2007 LR paddock1 maize 3899 7404
07/07/2007 LR paddock2 maize 0 2056
14/12/2007 SR paddock1 maize 583 4176
05/01/2008 SR paddock2 maize 0 874
05/07/2008 LR paddock2 maize 0 2425
07/07/2008 LR paddock1 bean 6265 14006
07/07/2008 LR paddock1 maize 0 1427
06/12/2008 SR paddock1 maize 4132 8304
31/12/2008 SR paddock2 maize 0 791
20/06/2009 LR paddock1 bean 568 2405
20/06/2009 LR paddock1 maize 4284 8766
02/07/2009 LR paddock2 maize 0 2324
09/12/2009 SR paddock1 maize 1430 4712
31/12/2009 SR paddock2 maize 0 813
20/06/2010 LR paddock1 bean 630 2672
20/06/2010 LR paddock1 maize 3297 6320
02/07/2010 LR paddock2 maize 0 2254
15/12/2010 SR paddock1 maize 0 3201
30/12/2010 SR paddock2 maize 0 867
