date,income,expenditure,balance,comment
21/Dec/1980,0.0,,2960.3646745454544,cropprice (maize)
21/Dec/1980,15.095525568181818,,2975.4602001136363,cropprice (maize_residue)
21/Dec/1980,,0.25,2975.2102001136363,operating costs of operator1 + harvesting
18/Jan/1981,,0.75,2974.4602001136363,operating costs of operator1 + weeding
30/Jan/1981,,0.25,2974.2102001136363,operating costs of operator1 + weeding
15/Mar/1981,,31.5,2942.7102001136363,sowing costs
15/Mar/1981,,10.5,2932.2102001136363,sowing costs
15/Mar/1981,,0.75,2931.4602001136363,operating costs of operator1 + presow_till
16/Mar/1981,,0.75,2930.7102001136363,operating costs of operator1 + sowing
17/Mar/1981,,0.25,2930.4602001136363,operating costs of operator1 + presow_till
18/Mar/1981,,0.25,2930.2102001136363,operating costs of operator1 + sowing
14/Apr/1981,,0.75,2929.4602001136363,operating costs of operator1 + weeding
15/Apr/1981,,0.25,2929.2102001136363,operating costs of operator1 + weeding
25/Jun/1981,1182.5073851420455,,4111.717585255682,cropprice (bean)
25/Jun/1981,836.158811931818,,4947.8763971875,cropprice (maize)
25/Jun/1981,144.67081520454545,,5092.547212392045,cropprice (maize_residue)
25/Jun/1981,,0.75,5091.797212392045,operating costs of operator1 + harvesting
26/Jun/1981,,0.75,5091.047212392045,operating costs of operator1 + harvesting
30/Jun/1981,,606.1,4484.947212392045,Farm Overheads
06/Jul/1981,0.0,,4484.947212392045,cropprice (maize)
06/Jul/1981,14.30886147159091,,4499.256073863636,cropprice (maize_residue)
06/Jul/1981,,0.25,4499.006073863636,operating costs of operator1 + harvesting
04/Aug/1981,,0.75,4498.256073863636,operating costs of operator1 + weeding
15/Aug/1981,,0.25,4498.006073863636,operating costs of operator1 + weeding
01/Sep/1981,,15.0,4483.006073863636,sowing costs
01/Sep/1981,,5.0,4478.006073863636,sowing costs
01/Sep/1981,,0.75,4477.256073863636,operating costs of operator1 + presow_till
02/Sep/1981,,0.75,4476.506073863636,operating costs of operator1 + sowing
03/Sep/1981,,0.25,4476.256073863636,operating costs of operator1 + presow_till
04/Sep/1981,,0.25,4476.006073863636,operating costs of operator1 + sowing
01/Oct/1981,,0.75,4475.256073863636,operating costs of operator1 + weeding
02/Oct/1981,,0.25,4475.006073863636,operating costs of operator1 + weeding
11/Dec/1981,992.6528607997161,,5467.658934663352,cropprice (maize)
11/Dec/1981,81.18553578409092,,5548.844470447442,cropprice (maize_residue)
11/Dec/1981,,0.75,5548.094470447442,operating costs of operator1 + harvesting
27/Dec/1981,0.0,,5548.094470447442,cropprice (maize)
27/Dec/1981,12.55316578409091,,5560.647636231533,cropprice (maize_residue)
27/Dec/1981,,0.25,5560.397636231533,operating costs of operator1 + harvesting
20/Jan/1982,,0.75,5559.647636231533,operating costs of operator1 + weeding
05/Feb/1982,,0.25,5559.397636231533,operating costs of operator1 + weeding
23/Mar/1982,,31.5,5527.897636231533,sowing costs
23/Mar/1982,,10.5,5517.397636231533,sowing costs
23/Mar/1982,,0.75,5516.647636231533,operating costs of operator1 + presow_till
24/Mar/1982,,0.75,5515.897636231533,operating costs of operator1 + sowing
25/Mar/1982,,0.25,5515.647636231533,operating costs of operator1 + presow_till
26/Mar/1982,,0.25,5515.397636231533,operating costs of operator1 + sowing
22/Apr/1982,,0.75,5514.647636231533,operating costs of operator1 + weeding
23/Apr/1982,,0.25,5514.397636231533,operating costs of operator1 + weeding
30/Jun/1982,,606.1,4908.297636231533,Farm Overheads
01/Jul/1982,454.2302917329546,,5362.527927964487,cropprice (bean)
01/Jul/1982,1050.1490202954546,,6412.676948259942,cropprice (maize)
01/Jul/1982,124.58495261931822,,6537.26190087926,cropprice (maize_residue)
01/Jul/1982,219.79088339914773,,6757.052784278408,cropprice (maize)
01/Jul/1982,14.26664040340909,,6771.319424681817,cropprice (maize_residue)
01/Jul/1982,,0.75,6770.569424681817,operating costs of operator1 + harvesting
02/Jul/1982,,0.75,6769.819424681817,operating costs of operator1 + harvesting
03/Jul/1982,,0.25,6769.569424681817,operating costs of operator1 + harvesting
10/Aug/1982,,0.75,6768.819424681817,operating costs of operator1 + weeding
11/Aug/1982,,0.25,6768.569424681817,operating costs of operator1 + weeding
08/Sep/1982,,15.0,6753.569424681817,sowing costs
08/Sep/1982,,5.0,6748.569424681817,sowing costs
08/Sep/1982,,0.75,6747.819424681817,operating costs of operator1 + presow_till
09/Sep/1982,,0.75,6747.069424681817,operating costs of operator1 + sowing
10/Sep/1982,,0.25,6746.819424681817,operating costs of operator1 + presow_till
11/Sep/1982,,0.25,6746.569424681817,operating costs of operator1 + sowing
08/Oct/1982,,0.75,6745.819424681817,operating costs of operator1 + weeding
09/Oct/1982,,0.25,6745.569424681817,operating costs of operator1 + weeding
20/Dec/1982,784.683809705966,,7530.253234387783,cropprice (maize)
20/Dec/1982,60.62830977272726,,7590.88154416051,cropprice (maize_residue)
20/Dec/1982,,0.75,7590.13154416051,operating costs of operator1 + harvesting
24/Dec/1982,0.0,,7590.13154416051,cropprice (maize)
24/Dec/1982,20.08253894886364,,7610.214083109374,cropprice (maize_residue)
24/Dec/1982,,0.25,7609.964083109374,operating costs of operator1 + harvesting
29/Jan/1983,,0.75,7609.214083109374,operating costs of operator1 + weeding
02/Feb/1983,,0.25,7608.964083109374,operating costs of operator1 + weeding
16/Mar/1983,,31.5,7577.464083109374,sowing costs
16/Mar/1983,,10.5,7566.964083109374,sowing costs
16/Mar/1983,,0.75,7566.214083109374,operating costs of operator1 + presow_till
17/Mar/1983,,0.75,7565.464083109374,operating costs of operator1 + sowing
18/Mar/1983,,0.25,7565.214083109374,operating costs of operator1 + presow_till
19/Mar/1983,,0.25,7564.964083109374,operating costs of operator1 + sowing
15/Apr/1983,,0.75,7564.214083109374,operating costs of operator1 + weeding
16/Apr/1983,,0.25,7563.964083109374,operating costs of operator1 + weeding
18/Jun/1983,319.7666462215909,,7883.730729330965,cropprice (bean)
18/Jun/1983,893.1213671420455,,8776.85209647301,cropprice (maize)
18/Jun/1983,104.09582519318184,,8880.947921666193,cropprice (maize_residue)
18/Jun/1983,,0.75,8880.197921666193,operating costs of operator1 + harvesting
19/Jun/1983,,0.75,8879.447921666193,operating costs of operator1 + harvesting
26/Jun/1983,0.0,,8879.447921666193,cropprice (maize)
26/Jun/1983,15.236253215909093,,8894.684174882103,cropprice (maize_residue)
26/Jun/1983,,0.25,8894.434174882103,operating costs of operator1 + harvesting
30/Jun/1983,,606.1,8288.334174882102,Farm Overheads
28/Jul/1983,,0.75,8287.584174882102,operating costs of operator1 + weeding
05/Aug/1983,,0.25,8287.334174882102,operating costs of operator1 + weeding
01/Sep/1983,,15.0,8272.334174882102,sowing costs
01/Sep/1983,,5.0,8267.334174882102,sowing costs
01/Sep/1983,,0.75,8266.584174882102,operating costs of operator1 + presow_till
02/Sep/1983,,0.75,8265.834174882102,operating costs of operator1 + sowing
03/Sep/1983,,0.25,8265.584174882102,operating costs of operator1 + presow_till
04/Sep/1983,,0.25,8265.334174882102,operating costs of operator1 + sowing
01/Oct/1983,,0.75,8264.584174882102,operating costs of operator1 + weeding
02/Oct/1983,,0.25,8264.334174882102,operating costs of operator1 + weeding
12/Dec/1983,695.9195103068182,,8960.25368518892,cropprice (maize)
12/Dec/1983,51.30932340340908,,9011.56300859233,cropprice (maize_residue)
12/Dec/1983,,0.75,9010.81300859233,operating costs of operator1 + harvesting
28/Dec/1983,0.0,,9010.81300859233,cropprice (maize)
28/Dec/1983,12.411533704545455,,9023.224542296875,cropprice (maize_residue)
28/Dec/1983,,0.25,9022.974542296875,operating costs of operator1 + harvesting
21/Jan/1984,,0.75,9022.224542296875,operating costs of operator1 + weeding
06/Feb/1984,,0.25,9021.974542296875,operating costs of operator1 + weeding
14/Mar/1984,,31.5,8990.474542296875,sowing costs
14/Mar/1984,,10.5,8979.974542296875,sowing costs
14/Mar/1984,,0.75,8979.224542296875,operating costs of operator1 + presow_till
15/Mar/1984,,0.75,8978.474542296875,operating costs of operator1 + sowing
16/Mar/1984,,0.25,8978.224542296875,operating costs of operator1 + presow_till
17/Mar/1984,,0.25,8977.974542296875,operating costs of operator1 + sowing
13/Apr/1984,,0.75,8977.224542296875,operating costs of operator1 + weeding
14/Apr/1984,,0.25,8976.974542296875,operating costs of operator1 + weeding
18/Jun/1984,275.9673552443181,,9252.941897541194,cropprice (bean)
18/Jun/1984,985.0192182230113,,10237.961115764205,cropprice (maize)
18/Jun/1984,95.12360728977272,,10333.084723053977,cropprice (maize_residue)
18/Jun/1984,,0.75,10332.334723053977,operating costs of operator1 + harvesting
19/Jun/1984,,0.75,10331.584723053977,operating costs of operator1 + harvesting
20/Jun/1984,130.10896188920455,,10461.69368494318,cropprice (maize)
20/Jun/1984,15.875183107954546,,10477.568868051136,cropprice (maize_residue)
20/Jun/1984,,0.25,10477.318868051136,operating costs of operator1 + harvesting
29/Jun/1984,,606.1,9871.218868051135,Farm Overheads
28/Jul/1984,,0.75,9870.468868051135,operating costs of operator1 + weeding
30/Jul/1984,,0.25,9870.218868051135,operating costs of operator1 + weeding
30/Aug/1984,,15.0,9855.218868051135,sowing costs
30/Aug/1984,,5.0,9850.218868051135,sowing costs
30/Aug/1984,,0.75,9849.468868051135,operating costs of operator1 + presow_till
31/Aug/1984,,0.75,9848.718868051135,operating costs of operator1 + sowing
01/Sep/1984,,0.25,9848.468868051135,operating costs of operator1 + presow_till
02/Sep/1984,,0.25,9848.218868051135,operating costs of operator1 + sowing
29/Sep/1984,,0.75,9847.468868051135,operating costs of operator1 + weeding
30/Sep/1984,,0.25,9847.218868051135,operating costs of operator1 + weeding
09/Dec/1984,523.4733475184661,,10370.692215569601,cropprice (maize)
09/Dec/1984,48.01855191477272,,10418.710767484374,cropprice (maize_residue)
09/Dec/1984,,0.75,10417.960767484374,operating costs of operator1 + harvesting
10/Dec/1984,75.59518764630683,,10493.55595513068,cropprice (maize)
10/Dec/1984,18.891479494318183,,10512.447434624997,cropprice (maize_residue)
10/Dec/1984,,0.25,10512.197434624997,operating costs of operator1 + harvesting
18/Jan/1985,,0.75,10511.447434624997,operating costs of operator1 + weeding
19/Jan/1985,,0.25,10511.197434624997,operating costs of operator1 + weeding
20/Mar/1985,,31.5,10479.697434624997,sowing costs
20/Mar/1985,,10.5,10469.197434624997,sowing costs
20/Mar/1985,,0.75,10468.447434624997,operating costs of operator1 + presow_till
21/Mar/1985,,0.75,10467.697434624997,operating costs of operator1 + sowing
22/Mar/1985,,0.25,10467.447434624997,operating costs of operator1 + presow_till
23/Mar/1985,,0.25,10467.197434624997,operating costs of operator1 + sowing
19/Apr/1985,,0.75,10466.447434624997,operating costs of operator1 + weeding
20/Apr/1985,,0.25,10466.197434624997,operating costs of operator1 + weeding
30/Jun/1985,,606.1,9860.097434624997,Farm Overheads
05/Jul/1985,2213.738425380682,,12073.835860005678,cropprice (bean)
05/Jul/1985,0.0,,12073.835860005678,cropprice (maize)
05/Jul/1985,191.86227139772723,,12265.698131403406,cropprice (maize_residue)
05/Jul/1985,0.0,,12265.698131403406,cropprice (maize)
05/Jul/1985,19.091061676136363,,12284.789193079541,cropprice (maize_residue)
05/Jul/1985,,0.75,12284.039193079541,operating costs of operator1 + harvesting
06/Jul/1985,,0.75,12283.289193079541,operating costs of operator1 + harvesting
07/Jul/1985,,0.25,12283.039193079541,operating costs of operator1 + harvesting
14/Aug/1985,,0.75,12282.289193079541,operating costs of operator1 + weeding
15/Aug/1985,,0.25,12282.039193079541,operating costs of operator1 + weeding
01/Sep/1985,,15.0,12267.039193079541,sowing costs
01/Sep/1985,,5.0,12262.039193079541,sowing costs
01/Sep/1985,,0.75,12261.289193079541,operating costs of operator1 + presow_till
02/Sep/1985,,0.75,12260.539193079541,operating costs of operator1 + sowing
03/Sep/1985,,0.25,12260.289193079541,operating costs of operator1 + presow_till
04/Sep/1985,,0.25,12260.039193079541,operating costs of operator1 + sowing
01/Oct/1985,,0.75,12259.289193079541,operating costs of operator1 + weeding
02/Oct/1985,,0.25,12259.039193079541,operating costs of operator1 + weeding
13/Dec/1985,35.76034196590909,,12294.799535045451,cropprice (maize)
13/Dec/1985,60.91921442045455,,12355.718749465907,cropprice (maize_residue)
13/Dec/1985,,0.75,12354.968749465907,operating costs of operator1 + harvesting
29/Dec/1985,0.0,,12354.968749465907,cropprice (maize)
29/Dec/1985,6.449107778409092,,12361.417857244316,cropprice (maize_residue)
29/Dec/1985,,0.25,12361.167857244316,operating costs of operator1 + harvesting
22/Jan/1986,,0.75,12360.417857244316,operating costs of operator1 + weeding
07/Feb/1986,,0.25,12360.167857244316,operating costs of operator1 + weeding
21/Mar/1986,,31.5,12328.667857244316,sowing costs
21/Mar/1986,,10.5,12318.167857244316,sowing costs
21/Mar/1986,,0.75,12317.417857244316,operating costs of operator1 + presow_till
22/Mar/1986,,0.75,12316.667857244316,operating costs of operator1 + sowing
23/Mar/1986,,0.25,12316.417857244316,operating costs of operator1 + presow_till
24/Mar/1986,,0.25,12316.167857244316,operating costs of operator1 + sowing
20/Apr/1986,,0.75,12315.417857244316,operating costs of operator1 + weeding
21/Apr/1986,,0.25,12315.167857244316,operating costs of operator1 + weeding
30/Jun/1986,,606.1,11709.067857244316,Farm Overheads
01/Jul/1986,952.2006018238638,,12661.26845906818,cropprice (bean)
01/Jul/1986,802.0102241505682,,13463.278683218748,cropprice (maize)
01/Jul/1986,132.51038984659093,,13595.78907306534,cropprice (maize_residue)
01/Jul/1986,,0.75,13595.03907306534,operating costs of operator1 + harvesting
02/Jul/1986,110.40372507102272,,13705.442798136362,cropprice (maize)
02/Jul/1986,17.86793656818182,,13723.310734704544,cropprice (maize_residue)
02/Jul/1986,,0.75,13722.560734704544,operating costs of operator1 + harvesting
03/Jul/1986,,0.25,13722.310734704544,operating costs of operator1 + harvesting
10/Aug/1986,,0.75,13721.560734704544,operating costs of operator1 + weeding
11/Aug/1986,,0.25,13721.310734704544,operating costs of operator1 + weeding
02/Sep/1986,,15.0,13706.310734704544,sowing costs
02/Sep/1986,,5.0,13701.310734704544,sowing costs
02/Sep/1986,,0.75,13700.560734704544,operating costs of operator1 + presow_till
03/Sep/1986,,0.75,13699.810734704544,operating costs of operator1 + sowing
04/Sep/1986,,0.25,13699.560734704544,operating costs of operator1 + presow_till
05/Sep/1986,,0.25,13699.310734704544,operating costs of operator1 + sowing
02/Oct/1986,,0.75,13698.560734704544,operating costs of operator1 + weeding
03/Oct/1986,,0.25,13698.310734704544,operating costs of operator1 + weeding
11/Dec/1986,1033.68534384375,,14731.996078548294,cropprice (maize)
11/Dec/1986,81.67605867613636,,14813.67213722443,cropprice (maize_residue)
11/Dec/1986,,0.75,14812.92213722443,operating costs of operator1 + harvesting
18/Dec/1986,0.0,,14812.92213722443,cropprice (maize)
18/Dec/1986,17.93238136931818,,14830.85451859375,cropprice (maize_residue)
18/Dec/1986,,0.25,14830.60451859375,operating costs of operator1 + harvesting
20/Jan/1987,,0.75,14829.85451859375,operating costs of operator1 + weeding
27/Jan/1987,,0.25,14829.60451859375,operating costs of operator1 + weeding
16/Mar/1987,,31.5,14798.10451859375,sowing costs
16/Mar/1987,,10.5,14787.60451859375,sowing costs
16/Mar/1987,,0.75,14786.85451859375,operating costs of operator1 + presow_till
17/Mar/1987,,0.75,14786.10451859375,operating costs of operator1 + sowing
18/Mar/1987,,0.25,14785.85451859375,operating costs of operator1 + presow_till
19/Mar/1987,,0.25,14785.60451859375,operating costs of operator1 + sowing
15/Apr/1987,,0.75,14784.85451859375,operating costs of operator1 + weeding
16/Apr/1987,,0.25,14784.60451859375,operating costs of operator1 + weeding
22/Jun/1987,669.1478262954547,,15453.752344889204,cropprice (bean)
22/Jun/1987,795.7879924985796,,16249.540337387783,cropprice (maize)
22/Jun/1987,126.25663895454545,,16375.796976342328,cropprice (maize_residue)
22/Jun/1987,,0.75,16375.046976342328,operating costs of operator1 + harvesting
23/Jun/1987,,0.75,16374.296976342328,operating costs of operator1 + harvesting
30/Jun/1987,,606.1,15768.196976342328,Farm Overheads
06/Jul/1987,0.0,,15768.196976342328,cropprice (maize)
06/Jul/1987,14.496731846590906,,15782.69370818892,cropprice (maize_residue)
06/Jul/1987,,0.25,15782.44370818892,operating costs of operator1 + harvesting
01/Aug/1987,,0.75,15781.69370818892,operating costs of operator1 + weeding
15/Aug/1987,,0.25,15781.44370818892,operating costs of operator1 + weeding
09/Sep/1987,,15.0,15766.44370818892,sowing costs
09/Sep/1987,,5.0,15761.44370818892,sowing costs
09/Sep/1987,,0.75,15760.69370818892,operating costs of operator1 + presow_till
10/Sep/1987,,0.75,15759.94370818892,operating costs of operator1 + sowing
11/Sep/1987,,0.25,15759.69370818892,operating costs of operator1 + presow_till
12/Sep/1987,,0.25,15759.44370818892,operating costs of operator1 + sowing
09/Oct/1987,,0.75,15758.69370818892,operating costs of operator1 + weeding
10/Oct/1987,,0.25,15758.44370818892,operating costs of operator1 + weeding
17/Dec/1987,1077.8248708977274,,16836.268579086645,cropprice (maize)
17/Dec/1987,97.78988093181817,,16934.058460018463,cropprice (maize_residue)
17/Dec/1987,,0.75,16933.308460018463,operating costs of operator1 + harvesting
30/Dec/1987,0.0,,16933.308460018463,cropprice (maize)
30/Dec/1987,14.389848187499998,,16947.698308205963,cropprice (maize_residue)
30/Dec/1987,,0.25,16947.448308205963,operating costs of operator1 + harvesting
26/Jan/1988,,0.75,16946.698308205963,operating costs of operator1 + weeding
08/Feb/1988,,0.25,16946.448308205963,operating costs of operator1 + weeding
17/Mar/1988,,31.5,16914.948308205963,sowing costs
17/Mar/1988,,10.5,16904.448308205963,sowing costs
17/Mar/1988,,0.75,16903.698308205963,operating costs of operator1 + presow_till
18/Mar/1988,,0.75,16902.948308205963,operating costs of operator1 + sowing
19/Mar/1988,,0.25,16902.698308205963,operating costs of operator1 + presow_till
20/Mar/1988,,0.25,16902.448308205963,operating costs of operator1 + sowing
16/Apr/1988,,0.75,16901.698308205963,operating costs of operator1 + weeding
17/Apr/1988,,0.25,16901.448308205963,operating costs of operator1 + weeding
26/Jun/1988,1750.2107099829545,,18651.65901818892,cropprice (bean)
26/Jun/1988,384.19845018749993,,19035.85746837642,cropprice (maize)
26/Jun/1988,205.9666858977273,,19241.82415427415,cropprice (maize_residue)
26/Jun/1988,,0.75,19241.07415427415,operating costs of operator1 + harvesting
27/Jun/1988,,0.75,19240.32415427415,operating costs of operator1 + harvesting
29/Jun/1988,,606.1,18634.22415427415,Farm Overheads
08/Jul/1988,0.0,,18634.22415427415,cropprice (maize)
08/Jul/1988,14.820082232954546,,18649.044236507107,cropprice (maize_residue)
08/Jul/1988,,0.25,18648.794236507107,operating costs of operator1 + harvesting
05/Aug/1988,,0.75,18648.044236507107,operating costs of operator1 + weeding
17/Aug/1988,,0.25,18647.794236507107,operating costs of operator1 + weeding
30/Aug/1988,,15.0,18632.794236507107,sowing costs
30/Aug/1988,,5.0,18627.794236507107,sowing costs
30/Aug/1988,,0.75,18627.044236507107,operating costs of operator1 + presow_till
31/Aug/1988,,0.75,18626.294236507107,operating costs of operator1 + sowing
01/Sep/1988,,0.25,18626.044236507107,operating costs of operator1 + presow_till
02/Sep/1988,,0.25,18625.794236507107,operating costs of operator1 + sowing
29/Sep/1988,,0.75,18625.044236507107,operating costs of operator1 + weeding
30/Sep/1988,,0.25,18624.794236507107,operating costs of operator1 + weeding
11/Dec/1988,1074.0234979048294,,19698.817734411936,cropprice (maize)
11/Dec/1988,93.15944325,,19791.977177661935,cropprice (maize_residue)
11/Dec/1988,,0.75,19791.227177661935,operating costs of operator1 + harvesting
01/Jan/1989,0.0,,19791.227177661935,cropprice (maize)
01/Jan/1989,9.903152465909091,,19801.130330127842,cropprice (maize_residue)
01/Jan/1989,,0.25,19800.880330127842,operating costs of operator1 + harvesting
20/Jan/1989,,0.75,19800.130330127842,operating costs of operator1 + weeding
10/Feb/1989,,0.25,19799.880330127842,operating costs of operator1 + weeding
15/Mar/1989,,31.5,19768.380330127842,sowing costs
15/Mar/1989,,10.5,19757.880330127842,sowing costs
15/Mar/1989,,0.75,19757.130330127842,operating costs of operator1 + presow_till
16/Mar/1989,,0.75,19756.380330127842,operating costs of operator1 + sowing
17/Mar/1989,,0.25,19756.130330127842,operating costs of operator1 + presow_till
18/Mar/1989,,0.25,19755.880330127842,operating costs of operator1 + sowing
14/Apr/1989,,0.75,19755.130330127842,operating costs of operator1 + weeding
15/Apr/1989,,0.25,19754.880330127842,operating costs of operator1 + weeding
27/Jun/1989,1246.8718248238636,,21001.752154951704,cropprice (bean)
27/Jun/1989,630.2381487059658,,21631.99030365767,cropprice (maize)
27/Jun/1989,149.84336159659088,,21781.83366525426,cropprice (maize_residue)
27/Jun/1989,,0.75,21781.08366525426,operating costs of operator1 + harvesting
28/Jun/1989,,0.75,21780.33366525426,operating costs of operator1 + harvesting
30/Jun/1989,,606.1,21174.23366525426,Farm Overheads
13/Jul/1989,0.0,,21174.23366525426,cropprice (maize)
13/Jul/1989,12.76381891477273,,21186.997484169035,cropprice (maize_residue)
13/Jul/1989,,0.25,21186.747484169035,operating costs of operator1 + harvesting
06/Aug/1989,,0.75,21185.997484169035,operating costs of operator1 + weeding
22/Aug/1989,,0.25,21185.747484169035,operating costs of operator1 + weeding
01/Sep/1989,,15.0,21170.747484169035,sowing costs
01/Sep/1989,,5.0,21165.747484169035,sowing costs
01/Sep/1989,,0.75,21164.997484169035,operating costs of operator1 + presow_till
02/Sep/1989,,0.75,21164.247484169035,operating costs of operator1 + sowing
03/Sep/1989,,0.25,21163.997484169035,operating costs of operator1 + presow_till
04/Sep/1989,,0.25,21163.747484169035,operating costs of operator1 + sowing
01/Oct/1989,,0.75,21162.997484169035,operating costs of operator1 + weeding
02/Oct/1989,,0.25,21162.747484169035,operating costs of operator1 + weeding
11/Dec/1989,994.9107421278411,,22157.658226296877,cropprice (maize)
11/Dec/1989,80.5803139431818,,22238.238540240058,cropprice (maize_residue)
11/Dec/1989,,0.75,22237.488540240058,operating costs of operator1 + harvesting
30/Dec/1989,0.0,,22237.488540240058,cropprice (maize)
30/Dec/1989,9.8888785625,,22247.377418802556,cropprice (maize_residue)
30/Dec/1989,,0.25,22247.127418802556,operating costs of operator1 + harvesting
20/Jan/1990,,0.75,22246.377418802556,operating costs of operator1 + weeding
08/Feb/1990,,0.25,22246.127418802556,operating costs of operator1 + weeding
15/Mar/1990,,31.5,22214.627418802556,sowing costs
15/Mar/1990,,10.5,22204.127418802556,sowing costs
15/Mar/1990,,0.75,22203.377418802556,operating costs of operator1 + presow_till
16/Mar/1990,,0.75,22202.627418802556,operating costs of operator1 + sowing
17/Mar/1990,,0.25,22202.377418802556,operating costs of operator1 + presow_till
18/Mar/1990,,0.25,22202.127418802556,operating costs of operator1 + sowing
14/Apr/1990,,0.75,22201.377418802556,operating costs of operator1 + weeding
15/Apr/1990,,0.25,22201.127418802556,operating costs of operator1 + weeding
24/Jun/1990,862.1704890511364,,23063.297907853692,cropprice (bean)
24/Jun/1990,797.7195273707389,,23861.017435224432,cropprice (maize)
24/Jun/1990,127.39099397727273,,23988.408429201703,cropprice (maize_residue)
24/Jun/1990,,0.75,23987.658429201703,operating costs of operator1 + harvesting
25/Jun/1990,,0.75,23986.908429201703,operating costs of operator1 + harvesting
30/Jun/1990,,606.1,23380.808429201705,Farm Overheads
05/Jul/1990,0.0,,23380.808429201705,cropprice (maize)
05/Jul/1990,13.369703812500003,,23394.178133014204,cropprice (maize_residue)
05/Jul/1990,,0.25,23393.928133014204,operating costs of operator1 + harvesting
03/Aug/1990,,0.75,23393.178133014204,operating costs of operator1 + weeding
14/Aug/1990,,0.25,23392.928133014204,operating costs of operator1 + weeding
01/Sep/1990,,15.0,23377.928133014204,sowing costs
01/Sep/1990,,5.0,23372.928133014204,sowing costs
01/Sep/1990,,0.75,23372.178133014204,operating costs of operator1 + presow_till
02/Sep/1990,,0.75,23371.428133014204,operating costs of operator1 + sowing
03/Sep/1990,,0.25,23371.178133014204,operating costs of operator1 + presow_till
04/Sep/1990,,0.25,23370.928133014204,operating costs of operator1 + sowing
01/Oct/1990,,0.75,23370.178133014204,operating costs of operator1 + weeding
02/Oct/1990,,0.25,23369.928133014204,operating costs of operator1 + weeding
14/Dec/1990,873.7923918579545,,24243.72052487216,cropprice (maize)
14/Dec/1990,70.26938698295454,,24313.989911855115,cropprice (maize_residue)
14/Dec/1990,,0.75,24313.239911855115,operating costs of operator1 + harvesting
02/Jan/1991,0.0,,24313.239911855115,cropprice (maize)
02/Jan/1991,11.876456522727272,,24325.116368377843,cropprice (maize_residue)
